"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4477803","slope","bulk soil","soil",NA,"EB026_read1","cross-site soil metagen","metagenome","WGS",NA,"USA",-77.725,162.311,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4477805","slope","bulk soil","soil",NA,"MD3_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",34.9,-115.65,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4477872","slope","bulk soil","soil",NA,"SF2_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",35.383,-105.933,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4477873","slope","bulk soil","soil",NA,"SV1_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",34.333,-106.733,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4477900","slope","bulk soil","soil",NA,"EB017_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",-78.03,163.873283333333,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4477901","slope","bulk soil","soil",NA,"EB019_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",-77.725,162.313,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4477902","slope","bulk soil","soil",NA,"EB020_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",-77.608,163.249,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4477903","slope","bulk soil","soil",NA,"EB021_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",-77.6375,162.887,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4477904","slope","bulk soil","soil",NA,"EB024_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",-77.527,161.702,"Deserts and xeric shrubland biome","mgp2997","free-living","desert_soil","terrestrial","soil"
"mgm4482714","organic feature","chyme","host-associated",NA,"lepida_foregut_563_creosote_ALL","Woodrat_foregut_metagenome_creosote","metagenome","WGS",NA,"USA",40.76078,-111.89105,"Deserts and xeric shrubland biome","mgp9847","host-associated","chyme","terrestrial","animal_host-associated"
"mgm4483800","organic feature","chyme","host-associated",NA,"lepida_foregut_546_control_ALL","Woodrat_foregut_metagenome_creosote","metagenome","WGS",NA,"USA",40.76078,-111.89105,"Deserts and xeric shrubland biome","mgp9847","host-associated","chyme","terrestrial","animal_host-associated"
"mgm4483883","organic feature","chyme","host-associated",NA,"lepida_foregut_543_creosote_ALL","Woodrat_foregut_metagenome_creosote","metagenome","WGS",NA,"USA",40.76078,-111.89105,"Deserts and xeric shrubland biome","mgp9847","host-associated","chyme","terrestrial","animal_host-associated"
"mgm4483943","organic feature","chyme","host-associated",NA,"lepida_foregut_548_control_ALL","Woodrat_foregut_metagenome_creosote","metagenome","WGS",NA,"USA",40.76078,-111.89105,"Deserts and xeric shrubland biome","mgp9847","host-associated","chyme","terrestrial","animal_host-associated"
"mgm4484670","organic feature","chyme","host-associated",NA,"lepida_foregut_539_creosote_ALL","Woodrat_foregut_metagenome_creosote","metagenome","WGS",NA,"USA",40.76078,-111.89105,"Deserts and xeric shrubland biome","mgp9847","host-associated","chyme","terrestrial","animal_host-associated"
