"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4578950","continental slope","marine sediment","sediment",NA,"sample1_1_contigs","Indian Ocean OMZ","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10545","free-living","continental_slope_sediment","marine","sediment"
"mgm4578951","continental slope","marine sediment","sediment",NA,"sample1_1_unassembled","Indian Ocean OMZ","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10545","free-living","continental_slope_sediment","marine","sediment"
"mgm4581719","continental slope","marine sediment","sediment",NA,"1.07_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581720","continental slope","marine sediment","sediment",NA,"1.18_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581721","continental slope","marine sediment","sediment",NA,"1.27_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581722","continental slope","marine sediment","sediment",NA,"1.38_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581723","continental slope","marine sediment","sediment",NA,"1.59_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581724","continental slope","marine sediment","sediment",NA,"1.75_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581725","continental slope","marine sediment","sediment",NA,"1.91_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581726","continental slope","marine sediment","sediment",NA,"2.08_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581727","continental slope","marine sediment","sediment",NA,"2.24_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581728","continental slope","marine sediment","sediment",NA,"2.37_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581729","continental slope","marine sediment","sediment",NA,"0.05_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581730","continental slope","marine sediment","sediment",NA,"2.78_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581731","continental slope","marine sediment","sediment",NA,"3.08_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581732","continental slope","marine sediment","sediment",NA,"3.38_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581733","continental slope","marine sediment","sediment",NA,"3.63_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581734","continental slope","marine sediment","sediment",NA,"3.85_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581735","continental slope","marine sediment","sediment",NA,"0.1_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581736","continental slope","marine sediment","sediment",NA,"0.32_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581737","continental slope","marine sediment","sediment",NA,"0.48_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581738","continental slope","marine sediment","sediment",NA,"0.59_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
