"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4532453","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R1_001","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"tropical moist broadleaf forest biome","mgp5568","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4532454","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R1_002","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"tropical moist broadleaf forest biome","mgp5568","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4532455","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R1_003","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"tropical moist broadleaf forest biome","mgp5568","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4532456","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R2_001","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"tropical moist broadleaf forest biome","mgp5568","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4532457","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R2_002","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"tropical moist broadleaf forest biome","mgp5568","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4532458","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R2_003","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"tropical moist broadleaf forest biome","mgp5568","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4750411","rhizosphere","rock","soil",NA,"OL_2","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4750538","rhizosphere","rock","soil",NA,"OL_1","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4750539","rhizosphere","rock","soil",NA,"OL_7","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751389","rhizosphere","rock","soil",NA,"OL_17","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751392","rhizosphere","rock","soil",NA,"OL_31","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751395","rhizosphere","rock","soil",NA,"OL_29","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751396","rhizosphere","rock","soil",NA,"OL_33","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751576","rhizosphere","rock","soil",NA,"OL_47","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751577","rhizosphere","rock","soil",NA,"OL_48_","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751584","rhizosphere","rock","soil",NA,"OL_50","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751599","rhizosphere","rock","soil",NA,"OL_58","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751712","rhizosphere","soil","soil",NA,"S_17_","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4751755","rhizosphere","soil","soil",NA,"S_29","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
"mgm4752317","rhizosphere","soil","soil",NA,"S_33","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"tropical moist broadleaf forest biome","mgp80870","free-living","rhizosphere","terrestrial","soil"
