samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem
mgm4737385,biofilm,biofilm material,microbial mat|biofilm,NA,C1_S17_L001_R1_001,Sample C1 R1,metagenome,WGS,NA,USA,34.3992,-118.9182,rangeland biome,mgp79357,free-living,pasture_soil,terrestrial,soil
mgm4737386,biofilm,biofilm material,microbial mat|biofilm,NA,C1_S17_L001_R1_001,Sample C1 R1,metagenome,WGS,NA,USA,34.3992,-118.9182,rangeland biome,mgp79357,free-living,pasture_soil,terrestrial,soil
mgm4755543,area of pastureland or hayfields,pasture soil,soil,NA,L2_297_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755544,area of pastureland or hayfields,pasture soil,soil,NA,L2_145_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755545,area of pastureland or hayfields,pasture soil,soil,NA,L3_418_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755546,area of pastureland or hayfields,pasture soil,soil,NA,L4_286_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755547,area of pastureland or hayfields,pasture soil,soil,NA,L3_765_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755548,area of pastureland or hayfields,pasture soil,soil,NA,L3_293_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755549,area of pastureland or hayfields,pasture soil,soil,NA,L1_146_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755550,area of pastureland or hayfields,pasture soil,soil,NA,L1_278_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755551,area of pastureland or hayfields,pasture soil,soil,NA,L4_513_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755552,area of pastureland or hayfields,pasture soil,soil,NA,L4_974_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755553,area of pastureland or hayfields,pasture soil,soil,NA,L1_935_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
mgm4755554,area of pastureland or hayfields,pasture soil,soil,NA,L2_368_,Metagenomic studies on pasturelands chronically exposed to pesticides,metagenome,WGS,south america,Argentina,-35.74416667,-58.0575,rangeland biome,mgp81386,free-living,pasture_soil,terrestrial,soil
