"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","Realm.","Biome","Functional.group","file_size_in_bytes","total_reads","GC_content","read_mean_lenght","total_base_pairs","read_size_std","maximum_read_size","minimum_read_size"
"mgm4754569","area of cropland","soil","soil",NA,"part7_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",845967117,3456982,0.624103356148779,215.892251102262,746335626,41.4973085163884,339,105
"mgm4754570","area of cropland","soil","soil",NA,"part8_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",846190359,3457656,0.624241069332525,215.908522131756,746537397,41.5031965850017,339,105
"mgm4754571","area of cropland","soil","soil",NA,"part6_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",845980504,3457849,0.624048938628621,215.836642085875,746330517,41.5028637757628,339,105
"mgm4754572","area of cropland","soil","soil",NA,"part1_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",846290407,3457842,0.624014952512683,215.924567981996,746633040,41.4812636578727,339,105
"mgm4754573","area of cropland","soil","soil",NA,"part0_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",845867765,3457098,0.624170146640526,215.856249663735,746236209,41.4952048961862,339,105
"mgm4754574","area of cropland","soil","soil",NA,"part3_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",846102389,3457807,0.624137994387456,215.873033399493,746447286,41.5135958141522,339,105
"mgm4754575","area of cropland","soil","soil",NA,"part5_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",846067323,3457824,0.624090886229996,215.861472417335,746410980,41.4741772381975,339,105
"mgm4754576","area of cropland","soil","soil",NA,"part4_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",846091226,3457482,0.624170221598352,215.89116038782,746439801,41.497700546788,339,105
"mgm4754577","area of cropland","soil","soil",NA,"part9_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",846185968,3457920,0.62418533181447,215.888926290949,746526636,41.4651450964452,339,105
"mgm4754578","area of cropland","soil","soil",NA,"part2_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China","33.25",116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil","Terrestrial","Intensive land-use ","Annual croplands",846084152,3457539,0.624249486039542,215.886593036261,746436315,41.4809310898721,339,105
