"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4467029","lake","water","water",NA,"Erie Bloom Shotgun Metagenome","Lake Erie Bloom Metagenome","metagenome","WGS","north america","United States of America",42.1469444444444,-8.01444444444444,"large lake biome","mgp715","free-living","lake","wilhelm","454","freshwater","freshwater"
"mgm4467058","lake","water","water",NA,"Taihu Bloom Shotgun Metagenome","Freshwater Microcystis Bloom Metagenomes","metagenome","WGS","asia","People's Republic of China",31.26,120.12,"large lake biome","mgp1207","free-living","lake","wilhelm","454","freshwater","freshwater"
"mgm4467059","lake","water","water",NA,"Grand Lake St Marys (GLSM) Bloom Shotgun Metagenome","Freshwater Microcystis Bloom Metagenomes","metagenome","WGS","north america","United States of America",40.531,-84.499,"large lake biome","mgp1207","free-living","lake","wilhelm","454","freshwater","freshwater"
"mgm4508401","biofilm","contaminated water","wastewater|sludge",NA,"finaleffluent_S4_L001_R1_001_paired_de_novo_assembly","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"large lake biome","mgp1963","free-living","contaminated_water","ihara","illumina","freshwater","freshwater"
"mgm4508402","biofilm","contaminated water","wastewater|sludge",NA,"hospitalA_S2_L001_R1_001_paired_de_novo_assembly","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"large lake biome","mgp1963","free-living","contaminated_water","ihara","illumina","freshwater","freshwater"
"mgm4508403","biofilm","contaminated water","wastewater|sludge",NA,"hospitalE_S3_L001_R1_001_paired_de_novo_assembly","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"large lake biome","mgp1963","free-living","contaminated_water","ihara","illumina","freshwater","freshwater"
"mgm4508404","biofilm","contaminated water","wastewater|sludge",NA,"primaryeffluent_S1_L001_R1_001_paired_de_novo_assembly","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"large lake biome","mgp1963","free-living","contaminated_water","ihara","illumina","freshwater","freshwater"
"mgm4508805","biofilm","contaminated water","wastewater|sludge",NA,"120723-01_S1_L001_R1_001_paired_trimmed_paired_.fa","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"large lake biome","mgp1963","free-living","contaminated_water","ihara","illumina","freshwater","freshwater"
"mgm4540030","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"1.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540031","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"10.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540032","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"11.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540033","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"12.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540034","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"2.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540035","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"3.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540036","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"4.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540037","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"51.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540038","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"52.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540039","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"61.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540040","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"62.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540041","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"7.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540042","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"8.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4540043","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"9.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"large lake biome","mgp6468","free-living","anaerobic_sediment","luo","illumina","terrestrial","sediment"
"mgm4694205","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"PortageLakefront_5B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",41.63096,-87.1797,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694206","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"CalumetBeach_20B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",41.71246,-87.52642,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694207","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"PortageLakefront_21B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",41.63096,-87.1797,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694208","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"JeorsePark_30B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",41.65127,-87.43345,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694209","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"Northbeach_33B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",42.73774,-87.7778,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694210","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"NorthBeach_23B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",42.73774,-87.7778,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694211","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"PortageLakefront_31B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",41.63096,-87.1797,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694212","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"JeorsePark_22B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",41.65127,-87.43345,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694213","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"CalumetBeach_45B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",41.71246,-87.52642,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4694214","aquatic habitat","biofilm material","microbial mat|biofilm",NA,"JeorsePark_4B_2015","2015_algal_mat_metagenomes","metagenome","WGS","north america","USA",41.65127,-87.43345,"large lake biome","mgp17674","free-living","freshwater_biofilm","aunins","illumina","freshwater","freshwater"
"mgm4712785","drinking water reservoir","surface water","water",NA,"SS7.raw","QCS  Reservoir Investigation","metagenome","WGS",NA,"China",31.4137068814124,121.709912719726,"large lake biome","mgp19358","free-living","drinking_water_reservoir","he","illumina","freshwater","freshwater"
"mgm4712786","drinking water reservoir","surface water","water",NA,"XN6.raw","QCS  Reservoir Investigation","metagenome","WGS",NA,"China",31.4415378093039,121.691630783081,"large lake biome","mgp19358","free-living","drinking_water_reservoir","he","illumina","freshwater","freshwater"
"mgm4712787","drinking water reservoir","surface water","water",NA,"SS6.raw","QCS  Reservoir Investigation","metagenome","WGS",NA,"China",31.4137068814124,121.709912719726,"large lake biome","mgp19358","free-living","drinking_water_reservoir","he","illumina","freshwater","freshwater"
"mgm4712788","drinking water reservoir","surface water","water",NA,"XN5.raw","QCS  Reservoir Investigation","metagenome","WGS",NA,"China",31.4415378093039,121.691630783081,"large lake biome","mgp19358","free-living","drinking_water_reservoir","he","illumina","freshwater","freshwater"
"mgm4723381","lake","water","water",NA,"BD2","Metagenomics of Temenggor Lake, Malaysia 2","metagenome","WGS","asia","Malaysia",5.58368333333333,101.3451,"large lake biome","mgp81121","free-living","lake","Lau","illumina","freshwater","freshwater"
