"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4440090","saline evaporation pond","saline water","water",NA,"LowSalternPlaSDbay20051122","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440419","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMic20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440420","saline evaporation pond","saline water","water",NA,"LowSalternSDbayVir20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440421","saline evaporation pond","saline water","water",NA,"HighSalternSDbayVir20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440425","saline evaporation pond","saline water","water",NA,"MedSalternSDbayMic20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440426","saline evaporation pond","saline water","water",NA,"LowSalternSDbayMic20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440428","saline evaporation pond","saline water","water",NA,"MedSalternSDbayVir20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440429","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicB200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440430","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicA200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
"mgm4440432","saline evaporation pond","saline water","water",NA,"LowSalternSDbayVir20051110","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","rodriguez-brito","454","marine","saline_water"
