"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4502539","field","arable soil","plant-associated",NA,"No11-pair.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA",39.59845,-89.7643667,"prairie division (250)","mgp2076","free-living","agricultural_soil","terrestrial","soil"
"mgm4502540","field","arable soil","plant-associated",NA,"No11-sole.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA",39.59845,-89.7643667,"prairie division (250)","mgp2076","free-living","agricultural_soil","terrestrial","soil"
"mgm4502541","field","arable soil","plant-associated",NA,"No7-pair.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA",39.5997833,-89.7643667,"prairie division (250)","mgp2076","free-living","agricultural_soil","terrestrial","soil"
"mgm4502542","field","arable soil","plant-associated",NA,"No7-sole.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA",39.5997833,-89.7643667,"prairie division (250)","mgp2076","free-living","agricultural_soil","terrestrial","soil"
"mgm4502543","field","arable soil","plant-associated",NA,"No77-pair.fastq","ISA-SMC-2011","metagenome","WGS","north america","USA",39.5997833,-89.7643667,"prairie division (250)","mgp2076","free-living","agricultural_soil","terrestrial","soil"
"mgm4502923","field","arable soil","plant-associated",NA,"No1-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",38.198,-89.6276,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502924","field","arable soil","plant-associated",NA,"No10-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",39.5853,-89.7607167,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502925","field","arable soil","plant-associated",NA,"No12-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",40.21975,-88.4673667,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502926","field","arable soil","plant-associated",NA,"No13-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",40.2212833,-88.4665333,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502927","field","arable soil","plant-associated",NA,"No14-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",40.0776667,-88.2178667,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502928","field","arable soil","plant-associated",NA,"No15-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",40.0776833,-88.2157167,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502929","field","arable soil","plant-associated",NA,"No2-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",38.1986167,-89.6272,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502930","field","arable soil","plant-associated",NA,"No3-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",39.3767667,-90.3235,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502931","field","arable soil","plant-associated",NA,"No4-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",39.3756667,-90.3237167,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502932","field","arable soil","plant-associated",NA,"No5-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",39.3784833,-90.3239167,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502933","field","arable soil","plant-associated",NA,"No6-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",39.3788,-90.3226167,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502934","field","arable soil","plant-associated",NA,"No8-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",39.5976167,-89.7643167,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
"mgm4502935","field","arable soil","plant-associated",NA,"No9-pair.fastq","ISA-SMC-2011b","metagenome","WGS","north america","USA",39.5997167,-89.7609333,"prairie division (250)","mgp2205","free-living","agricultural_soil","terrestrial","soil"
