"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4481963","freshwater habitat","sediment","sediment",NA,"cg2_up_s_1","Tongue_all_2011","metagenome","WGS",NA,"USA",45.139111,-106.767658,"small river biome","mgp305","free-living","river_sediment","freshwater","sediment"
"mgm4481964","freshwater habitat","sediment","sediment",NA,"cg2_up_s_2","Tongue_all_2011","metagenome","WGS",NA,"USA",45.139111,-106.767658,"small river biome","mgp305","free-living","river_sediment","freshwater","sediment"
"mgm4481966","freshwater habitat","sediment","sediment",NA,"cg5_down_s_2","Tongue_all_2011","metagenome","WGS",NA,"USA",45.139111,-106.767658,"small river biome","mgp305","free-living","river_sediment","freshwater","sediment"
"mgm4528142","sulfur spring","biofilm material","microbial mat|biofilm",NA,"META","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"small river biome","mgp5076","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4528143","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METB","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"small river biome","mgp5076","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4528144","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METC","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"small river biome","mgp5076","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4528145","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METD","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"small river biome","mgp5076","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4528146","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METE","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"small river biome","mgp5076","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4528147","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METF","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"small river biome","mgp5076","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4533663","freshwater habitat","water","host-associated",NA,"A10_S10_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533664","freshwater habitat","water","host-associated",NA,"A11_S11_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533665","freshwater habitat","water","host-associated",NA,"A12_S12_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533666","freshwater habitat","water","host-associated",NA,"A1_S1_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533667","freshwater habitat","water","host-associated",NA,"A2_S2_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533668","freshwater habitat","water","host-associated",NA,"A3_S3_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533669","freshwater habitat","water","host-associated",NA,"A4_S4_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533670","freshwater habitat","water","host-associated",NA,"A5_S5_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533671","freshwater habitat","water","host-associated",NA,"A6_S6_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533672","freshwater habitat","water","host-associated",NA,"A7_S7_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533673","freshwater habitat","water","host-associated",NA,"A8_S8_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533674","freshwater habitat","water","host-associated",NA,"A9_S9_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533675","freshwater habitat","water","host-associated",NA,"B1_S13_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533676","freshwater habitat","water","host-associated",NA,"B2_S14_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533677","freshwater habitat","water","host-associated",NA,"B3_S15_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533678","freshwater habitat","water","host-associated",NA,"B4_S16_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533679","freshwater habitat","water","host-associated",NA,"B5_S17_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4533680","freshwater habitat","water","host-associated",NA,"B6_S18_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"small river biome","mgp5687","free-living","river","freshwater","freshwater"
"mgm4589537","biofilm","surface water","microbial mat|biofilm",NA,"rb01D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.093517,-81.959342,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589538","biofilm","surface water","microbial mat|biofilm",NA,"rb02D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.081156,-81.944769,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589539","biofilm","surface water","microbial mat|biofilm",NA,"rb04D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.093239,-81.963733,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589540","biofilm","surface water","microbial mat|biofilm",NA,"rb07D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.147433,-81.993931,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589541","biofilm","surface water","microbial mat|biofilm",NA,"rb08D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.150972,-82.000242,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589543","biofilm","surface water","microbial mat|biofilm",NA,"rb13D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.061635,-81.943771,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589544","biofilm","surface water","microbial mat|biofilm",NA,"rb15D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.047192,-81.912722,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589545","biofilm","surface water","microbial mat|biofilm",NA,"rb16D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.08708333,-81.95846389,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589546","biofilm","surface water","microbial mat|biofilm",NA,"rb17D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.095589,-81.988414,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589547","biofilm","surface water","microbial mat|biofilm",NA,"rb18D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.062431,-81.953931,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4589548","biofilm","surface water","microbial mat|biofilm",NA,"rb20D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.094733,-81.978239,"small river biome","mgp11202","free-living","freshwater_biofilm","freshwater","freshwater"
"mgm4606757","river","sediment","sediment",NA,"N2re_R1R2retain","WC","metagenome","WGS",NA,"USA",38.010278,-81.150528,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4606758","river","sediment","sediment",NA,"N3dre_R1R2retain","WC","metagenome","WGS",NA,"USA",38.015222,-81.150917,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4606759","river","sediment","sediment",NA,"N3re_R1R2retain","WC","metagenome","WGS",NA,"USA",38.015222,-81.150917,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4606760","river","sediment","sediment",NA,"N4re_R1R2retain","WC","metagenome","WGS",NA,"USA",38.015222,-81.153083,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4606761","river","sediment","sediment",NA,"N6re_R1R2retain","WC","metagenome","WGS",NA,"USA",38.014944,-81.152361,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4606762","river","sediment","sediment",NA,"N7re_R1R2retain","WC","metagenome","WGS",NA,"USA",38.015194,-81.151833,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4614547","river","sediment","sediment",NA,"NF2retain","WC","metagenome","WGS",NA,"USA",38.010278,-81.150528,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4614548","river","sediment","sediment",NA,"NF3dretain","WC","metagenome","WGS",NA,"USA",38.015222,-81.150917,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4614549","river","sediment","sediment",NA,"NF3retain","WC","metagenome","WGS",NA,"USA",38.015222,-81.150917,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4614550","river","sediment","sediment",NA,"NF4retain","WC","metagenome","WGS",NA,"USA",38.015222,-81.153083,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
