samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4520300,plant-associated habitat,bulk soil,plant-associated,NA,root_S10_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00934,-72.49418,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520301,plant-associated habitat,bulk soil,plant-associated,NA,root_S10_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00934,-72.49418,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520302,plant-associated habitat,bulk soil,plant-associated,NA,root_S11_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00942,-72.49433,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520303,plant-associated habitat,bulk soil,plant-associated,NA,root_S11_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00942,-72.49433,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520304,plant-associated habitat,bulk soil,plant-associated,NA,root_S12_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02531,-72.46175,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520305,plant-associated habitat,bulk soil,plant-associated,NA,root_S12_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02531,-72.46175,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520306,plant-associated habitat,bulk soil,plant-associated,NA,root_S13_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02556,-72.46173,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520307,plant-associated habitat,bulk soil,plant-associated,NA,root_S13_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02556,-72.46173,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520308,plant-associated habitat,bulk soil,plant-associated,NA,root_S14_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01507,-72.52865,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520309,plant-associated habitat,bulk soil,plant-associated,NA,root_S14_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01507,-72.52865,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520310,plant-associated habitat,bulk soil,plant-associated,NA,root_S15_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02536,-72.46175,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520311,plant-associated habitat,bulk soil,plant-associated,NA,root_S15_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02536,-72.46175,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520312,plant-associated habitat,bulk soil,plant-associated,NA,root_S16_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0144,-72.52841,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520313,plant-associated habitat,bulk soil,plant-associated,NA,root_S16_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0144,-72.52841,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520314,plant-associated habitat,bulk soil,plant-associated,NA,root_S17_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01493,-72.52853,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520315,plant-associated habitat,bulk soil,plant-associated,NA,root_S17_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01493,-72.52853,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520316,plant-associated habitat,bulk soil,plant-associated,NA,root_S18_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0428,-72.52833,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520317,plant-associated habitat,bulk soil,plant-associated,NA,root_S18_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0428,-72.52833,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520318,plant-associated habitat,bulk soil,plant-associated,NA,root_S19_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01504,-72.52848,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520320,plant-associated habitat,bulk soil,plant-associated,NA,root_S1_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01505,-72.52848,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520321,plant-associated habitat,bulk soil,plant-associated,NA,root_S1_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01505,-72.52848,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520322,plant-associated habitat,bulk soil,plant-associated,NA,root_S20_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01512,-72.5286,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520323,plant-associated habitat,bulk soil,plant-associated,NA,root_S20_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01512,-72.5286,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520324,plant-associated habitat,bulk soil,plant-associated,NA,root_S22_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01506,-72.52854,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520325,plant-associated habitat,bulk soil,plant-associated,NA,root_S22_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01506,-72.52854,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520326,plant-associated habitat,bulk soil,plant-associated,NA,root_S23_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01526,-72.52811,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520327,plant-associated habitat,bulk soil,plant-associated,NA,root_S23_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01526,-72.52811,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520328,plant-associated habitat,bulk soil,plant-associated,NA,root_S24_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00945,-72.4943,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520329,plant-associated habitat,bulk soil,plant-associated,NA,root_S24_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00945,-72.4943,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
