samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4620726,beach,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF31.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,32.561428,34.909674,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620727,beach,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF32.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,32.561428,34.909674,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620728,rift valley,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF33.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,31.843883,35.513255,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620729,rift valley,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF34.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,31.843883,35.513255,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620730,rift valley,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF35.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,30.942444,35.367059,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620731,rift valley,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF36.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,30.942444,35.367059,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620732,stony desert,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF37.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,30.871124,34.78456,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620733,stony desert,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF38.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,30.871124,34.78456,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620734,rift valley,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF39.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,29.581368,34.965274,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
mgm4620735,rift valley,hypersaline water,plant-associated,NA,Metagenome_Phyllosphere_OF40.1_PERFECT,Tamarix aphylla phyllosphere metagenome,metagenome,WGS,NA,Israel,29.581368,34.965274,Warm deserts and semideserts,mgp5802,host-associated,plant-associated_hypersaline_water,terrestrial,plant-associated,belkin,illumina
