"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4486524","Archeological site","biofilm material","human-oral",NA,"S4-Shot-B61-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4486533","Archeological site","biofilm material","human-oral",NA,"S8-Shot-G12-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4486537","Archeological site","biofilm material","human-oral",NA,"S1-Shot-B61-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4486539","Archeological site","biofilm material","human-oral",NA,"S2-Shot-B61-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4486540","Archeological site","biofilm material","human-oral",NA,"S3-Shot-B61-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4486544","Archeological site","biofilm material","human-oral",NA,"S5-Shot-G12-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4486613","Archeological site","biofilm material","human-oral",NA,"S6-Shot-G12-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4486614","Archeological site","biofilm material","human-oral",NA,"S7-Shot-G12-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4486617","Archeological site","biofilm material","human-oral",NA,"S9-Shot-G12-calc","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","mummy","terrestrial","human_host-associated","warinner","illumina"
"mgm4508937","farm","agricultural soil","soil",NA,"002002_Airport_GTGGCC_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.765383,-84.847958,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4508938","farm","agricultural soil","soil",NA,"002003_Wally_GTTTCG_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.773786,-84.816108,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4508939","farm","agricultural soil","soil",NA,"002004_Nocton_Corn_GTTTCG_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.812644,-84.910717,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4508940","farm","agricultural soil","soil",NA,"002005_Nocton_Soy_GAGTGG_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.801142,-84.92135,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4508941","canopy","leafy wood soil","soil",NA,"002006_Sedgewick_ACTGAT_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.750944,-84.918778,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","forest_soil","terrestrial","soil","smith","illumina"
"mgm4508942","canopy","leafy wood soil","soil",NA,"002007_ATTCCT_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.795592,-84.922042,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","forest_soil","terrestrial","soil","smith","illumina"
"mgm4548727","organic feature","mucus","human-associated",NA,"COPD03","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4548728","organic feature","mucus","human-associated",NA,"COPD02","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
