samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4664545,blanket bog,peat soil,soil,NA,T7_B9,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664546,blanket bog,peat soil,soil,NA,T2_B6,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664547,blanket bog,peat soil,soil,NA,T4_B8,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664548,blanket bog,peat soil,soil,NA,T6_B3,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664549,blanket bog,peat soil,soil,NA,T7_B5,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664551,blanket bog,peat soil,soil,NA,T6_B2,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664552,blanket bog,peat soil,soil,NA,T9_B2,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664553,blanket bog,peat soil,soil,NA,T6_B10,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664554,blanket bog,peat soil,soil,NA,T9_B9,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664555,blanket bog,peat soil,soil,NA,T4_B4,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
