"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4559916","large river biome","river water","water",NA,"Belem","AmazPluma","metagenome","WGS","south america","Brazil",-1.519367,-48.91795,"freshwater environment","mgp8766","free-living","river","freshwater","freshwater","thompson","illumina"
"mgm4559917","large river biome","river water","water",NA,"North Macapa","AmazPluma","metagenome","WGS","south america","Brazil",-0.083883,-51.051417,"freshwater environment","mgp8766","free-living","river","freshwater","freshwater","thompson","illumina"
"mgm4559918","large river biome","river water","water",NA,"South Macapa","AmazPluma","metagenome","WGS","south america","Brazil",-0.156917,-50.62255,"freshwater environment","mgp8766","free-living","river","freshwater","freshwater","thompson","illumina"
"mgm4559919","large river biome","river water","water",NA,"Obidos","AmazPluma","metagenome","WGS","south america","Brazil",-1.919017,-55.525717,"freshwater environment","mgp8766","free-living","river","freshwater","freshwater","thompson","illumina"
"mgm4559920","large river biome","river water","water",NA,"St10","AmazPluma","metagenome","WGS","south america","Brazil",1.338083,-49.37105,"freshwater environment","mgp8766","free-living","river_saline","marine","saline_water","thompson","illumina"
"mgm4559921","large river biome","river water","water",NA,"St11","AmazPluma","metagenome","WGS","south america","Brazil",0.949317,-48.67375,"freshwater environment","mgp8766","free-living","river_saline","marine","saline_water","thompson","illumina"
"mgm4559922","large river biome","river water","water",NA,"St15","AmazPluma","metagenome","WGS","south america","Brazil",0.267833,-47.161683,"freshwater environment","mgp8766","free-living","river_saline","marine","saline_water","thompson","illumina"
"mgm4559923","large river biome","river water","water",NA,"St1","AmazPluma","metagenome","WGS","south america","Brazil",11.570683,-56.8059,"freshwater environment","mgp8766","free-living","coastal_seawater","marine","saline_water","thompson","illumina"
"mgm4559924","large river biome","river water","water",NA,"St3","AmazPluma","metagenome","WGS","south america","Brazil",8.02225,-50.982,"freshwater environment","mgp8766","free-living","coastal_seawater","marine","saline_water","thompson","illumina"
"mgm4559925","large river biome","river water","water",NA,"St4","AmazPluma","metagenome","WGS","south america","Brazil",6.372,-51.39375,"freshwater environment","mgp8766","free-living","coastal_seawater","marine","saline_water","thompson","illumina"
"mgm4559926","large river biome","river water","water",NA,"St6","AmazPluma","metagenome","WGS","south america","Brazil",3.505517,-50.500033,"freshwater environment","mgp8766","free-living","coastal_seawater","marine","saline_water","thompson","illumina"
"mgm4559927","large river biome","river water","water",NA,"Tapajos","AmazPluma","metagenome","WGS","south america","Brazil",-2.484383,-55.0075,"freshwater environment","mgp8766","free-living","river","freshwater","freshwater","thompson","illumina"
"mgm4626102","microbial feature","sewage","wastewater|sludge",NA,"Sample_2_EGSB_Stage_II","Anaerobic Reactors","metagenome","WGS",NA,"Brazil",-22.0026,-47.9298,"freshwater environment","mgp13174","free-living","sewage","freshwater","wastewater","delforno","illumina"
"mgm4626319","microbial feature","sewage","wastewater|sludge",NA,"Sample_3_EGSB_Stage_III","Anaerobic Reactors","metagenome","WGS",NA,"Brazil",-22.0026,-47.9298,"freshwater environment","mgp13174","free-living","sewage","freshwater","wastewater","delforno","illumina"
"mgm4626731","microbial feature","sewage","wastewater|sludge",NA,"Sample_5_FBR","Anaerobic Reactors","metagenome","WGS",NA,"Brazil",-22.0026,-47.9298,"freshwater environment","mgp13174","free-living","sewage","freshwater","wastewater","delforno","illumina"
"mgm4626732","microbial feature","sewage","wastewater|sludge",NA,"Sample_4_UASB","Anaerobic Reactors","metagenome","WGS",NA,"Brazil",-22.0026,-47.9298,"freshwater environment","mgp13174","free-living","sewage","freshwater","wastewater","delforno","illumina"
"mgm4626733","microbial feature","sewage","wastewater|sludge",NA,"Sample_1_WGS_whole","Anaerobic Reactors","metagenome","WGS",NA,"Brazil",-22.0026,-47.9298,"freshwater environment","mgp13174","free-living","sewage","freshwater","wastewater","delforno","illumina"
"mgm4663010","area of woody wetland","sediment","sediment",NA,"E02","Keri Lake project","metagenome","WGS",NA,"Greece",37.68615,20.8316666666667,"freshwater environment","mgp14860","free-living","lake_sediment","freshwater","sediment","michas","illumina"
"mgm4684211","microbial feature","sewage","wastewater|sludge",NA,"EGSB","Laundry Wastewater","metagenome","WGS",NA,"Brazil",-22.0026,-47.9298,"freshwater environment","mgp16829","free-living","sewage","freshwater","wastewater","delforno","illumina"
"mgm4684212","microbial feature","sewage","wastewater|sludge",NA,"UASB","Laundry Wastewater","metagenome","WGS",NA,"Brazil",-22.0026,-47.9298,"freshwater environment","mgp16829","free-living","sewage","freshwater","wastewater","delforno","illumina"
"mgm4706775","microbial feature","sewage","wastewater|sludge",NA,"FBR","Laundry Wastewater","metagenome","WGS",NA,"Brazil",-22.0026,-47.9298,"freshwater environment","mgp16829","free-living","sewage","freshwater","wastewater","delforno","illumina"
"mgm4734360","anaerobic bioreactor","bagasse","wastewater|sludge",NA,"LS1_1","Hydrogen_Sugarcane","metagenome","WGS",NA,"Brazil",-22.0034,-47.928634,"freshwater environment","mgp82405","free-living","sludge","freshwater","wastewater","soares","illumina"
"mgm4734362","anaerobic bioreactor","bagasse","wastewater|sludge",NA,"LS2_2","Hydrogen_Sugarcane","metagenome","WGS",NA,"Brazil",-22.0034,-47.928634,"freshwater environment","mgp82405","free-living","sludge","freshwater","wastewater","soares","illumina"
"mgm4779367","lake","water","water",NA,"COI_VKaban2016","KabanLakes2016","metagenome","WGS","europe","Russia",55.72,49.15,"freshwater environment","mgp83933","free-living","lake","freshwater","freshwater","husainov","illumina"
"mgm4779621","lake","eutrophic water","water","metagenome","COI_VKaban2017","KabanLakes2017","metagenome","WGS","europe","Russia",55.72,49.15,"freshwater environment","mgp83956","free-living","lake","freshwater","freshwater","husainov","illumina"
"mgm4779622","lake","eutrophic water","water","metagenome","COI_SKaban2017","KabanLakes2017","metagenome","WGS","europe","Russia",55.74,49.15,"freshwater environment","mgp83956","free-living","lake","freshwater","freshwater","husainov","illumina"
