samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4467029,lake,water,water,NA,Erie Bloom Shotgun Metagenome,Lake Erie Bloom Metagenome,metagenome,WGS,north america,United States of America,42.14694444,-8.014444444,Large lake biome,mgp715,free-living,lake,freshwater,freshwater,wilhelm,454
mgm4467058,lake,water,water,NA,Taihu Bloom Shotgun Metagenome,Freshwater Microcystis Bloom Metagenomes,metagenome,WGS,asia,People's Republic of China,31.26,120.12,Large lake biome,mgp1207,free-living,lake,freshwater,freshwater,wilhelm,454
mgm4467059,lake,water,water,NA,Grand Lake St Marys (GLSM) Bloom Shotgun Metagenome,Freshwater Microcystis Bloom Metagenomes,metagenome,WGS,north america,United States of America,40.531,-84.499,Large lake biome,mgp1207,free-living,lake,freshwater,freshwater,wilhelm,454
mgm4540030,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,1.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540031,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,10.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540032,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,11.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540033,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,12.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540034,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,2.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540035,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,3.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540036,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,4.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540037,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,51.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540038,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,52.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
mgm4540039,demilitiarized zone,anaerobic mud,wastewater|sludge,NA,61.good,Metagenomic analysis of biogas reactor samples,metagenome,WGS,NA,Denmark,55.763516,12.4949429,Large lake biome,mgp6468,free-living,anaerobic_sediment,freshwater,wastewater,luo,illumina
