"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4440090","saline evaporation pond","saline water","water",NA,"LowSalternPlaSDbay20051122","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440419","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMic20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440420","saline evaporation pond","saline water","water",NA,"LowSalternSDbayVir20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440421","saline evaporation pond","saline water","water",NA,"HighSalternSDbayVir20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440425","saline evaporation pond","saline water","water",NA,"MedSalternSDbayMic20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440426","saline evaporation pond","saline water","water",NA,"LowSalternSDbayMic20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440428","saline evaporation pond","saline water","water",NA,"MedSalternSDbayVir20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440429","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicB200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440430","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicA200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440432","saline evaporation pond","saline water","water",NA,"LowSalternSDbayVir20051110","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440433","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicC200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440434","saline evaporation pond","saline water","water",NA,"MedSalternSDbayMic20051111","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440435","saline evaporation pond","saline water","water",NA,"MedSalternSDbayMic20051110","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440436","saline evaporation pond","saline water","water",NA,"LowSalternSDbayVir200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440437","saline evaporation pond","saline water","water",NA,"LowSalternSDbayMic200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4440438","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicD200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"marine biome","mgp11","free-living","saline_evaporation_pond","marine","saline_water","rodriguez-brito","454"
"mgm4508047","bay","marine sediment","sediment",NA,"MG-Core_42-0_Merged","MG-Core_Metat_Merged","metagenome","WGS",NA,"USA",29.1916916666667,-88.5978433333333,"marine biome","mgp2734","free-living","coastal_marine_sediment","marine","sediment","yergeau","illumina"
"mgm4525341","coast","marine sediment","host-associated",NA,"oalg_sanger_metagenome","Oalg_sanger_metagenome","metagenome","WGS",NA,"Italy",42.807838,10.143549,"marine biome","mgp4836","host-associated","sea_worm","marine","animal_host-associated","dubilier","sanger"
"mgm4526719","mammalia-associated habitat","feces","host-associated",NA,"RightWhale.F11.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","Atlantic Ocean",44.613667,-66.464833,"marine biome","mgp3854","host-associated","animal_feces","marine","animal_host-associated","girguis","illumina"
"mgm4526720","mammalia-associated habitat","feces","host-associated",NA,"RightWhale.F12.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","Atlantic Ocean",44.613667,-66.464833,"marine biome","mgp3854","host-associated","animal_feces","marine","animal_host-associated","girguis","illumina"
"mgm4526721","mammalia-associated habitat","feces","host-associated",NA,"RightWhale.F16.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","Atlantic Ocean",44,-66,"marine biome","mgp3854","host-associated","animal_feces","marine","animal_host-associated","girguis","illumina"
"mgm4526722","mammalia-associated habitat","feces","host-associated",NA,"RightWhale.F9.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","Atlantic Ocean",44,-66,"marine biome","mgp3854","host-associated","animal_feces","marine","animal_host-associated","girguis","illumina"
"mgm4526723","mammalia-associated habitat","feces","host-associated",NA,"HumpbackWhale.JS10.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","Pacific Ocean",56.9,-135.6,"marine biome","mgp3854","host-associated","animal_feces","marine","animal_host-associated","girguis","illumina"
"mgm4526724","mammalia-associated habitat","feces","host-associated",NA,"BottlenoseDolphin.JS13.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","USA",36.948,-122.065,"marine biome","mgp3854","host-associated","animal_feces","marine","animal_host-associated","girguis","illumina"
"mgm4526725","mammalia-associated habitat","feces","host-associated",NA,"BelugaWhale.JS17.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","USA",41.373,-71.952,"marine biome","mgp3854","host-associated","animal_feces","marine","animal_host-associated","girguis","illumina"
"mgm4531574","aquatic habitat","Water","water",NA,"POWWOW_PERFECT-pair-end","POWOW","metagenome","WGS",NA,"Pacific Ocean",25.2660833333333,-134.887738333333,"marine biome","mgp5464","free-living","oceanic_seawater","marine","saline_water","post","illumina"
"mgm4548349","tidal pool","sediment","microbial mat|biofilm",NA,"1-paired","MaCuMBA","metagenome","WGS",NA,"Netherlands",53.4785962,6.1560311,"marine biome","mgp7332","free-living","coastal_marine_sediment","marine","sediment","stal","illumina"
"mgm4548350","tidal pool","sediment","microbial mat|biofilm",NA,"2-paired","MaCuMBA","metagenome","WGS",NA,"Netherlands",53.4785962,6.1560311,"marine biome","mgp7332","free-living","coastal_marine_sediment","marine","sediment","stal","illumina"
"mgm4572122","tidal pool","sediment","microbial mat|biofilm",NA,"Actinomm","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.490833,6.142483,"marine biome","mgp10047","free-living","coastal_marine_sediment","marine","sediment","stal","illumina"
"mgm4572123","tidal pool","sediment","microbial mat|biofilm",NA,"LB18","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.492183,6.139967,"marine biome","mgp10047","free-living","coastal_marine_sediment","marine","sediment","stal","illumina"
"mgm4572197","tidal pool","sediment","microbial mat|biofilm",NA,"Actinos8-join","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.490833,6.142483,"marine biome","mgp10047","free-living","coastal_marine_sediment","marine","sediment","stal","illumina"
"mgm4572198","tidal pool","sediment","microbial mat|biofilm",NA,"S1-join","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.492183,6.139967,"marine biome","mgp10047","free-living","coastal_marine_sediment","marine","sediment","stal","illumina"
"mgm4572199","tidal pool","sediment","microbial mat|biofilm",NA,"TSB-join","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.490267,6.144433,"marine biome","mgp10047","free-living","coastal_marine_sediment","marine","sediment","stal","illumina"
"mgm4718936","hydrothermal vent","sediment","sediment",NA,"RB35","Archaeal and Bacterial diversity and function in hydrothermal influenced sediments from two distinct deep-sea vent fields of the Azores","metagenome","WGS","europe","Portugal",36.230908,-33.904467,"marine biome","mgp20053","free-living","hydrothermal_vent","marine","sediment","cerqueira","illumina"
"mgm4718937","hydrothermal vent","sediment","sediment",NA,"MG35","Archaeal and Bacterial diversity and function in hydrothermal influenced sediments from two distinct deep-sea vent fields of the Azores","metagenome","WGS","europe","Portugal",37.8445,-31.519255,"marine biome","mgp20053","free-living","hydrothermal_vent","marine","sediment","cerqueira","illumina"
"mgm4723009","shoreline","sea water","water",NA,"LoCoS_MarProk_WGAX","MDAvsWGAX","metagenome","WGS",NA,"USA",43.844408,-69.640969,"marine biome","mgp20492","free-living","coastal_seawater","marine","saline_water","stepanauskas","assembled"
"mgm4723011","shoreline","sea water","water",NA,"LoCoS_MarProk_MDA","MDAvsWGAX","metagenome","WGS",NA,"USA",43.844408,-69.640969,"marine biome","mgp20492","free-living","coastal_seawater","marine","saline_water","stepanauskas","assembled"
