"samples","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4529907","mgp5298","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4622354","mgp12701","free-living","lake","freshwater","freshwater"
"mgm4711609","mgp19238","free-living","sludge","freshwater","wastewater"
"mgm4718321","mgp19999","host-associated","chyme","terrestrial","animal_host-associated"
"mgm4720071","mgp20252","free-living","coastal_seawater","marine","saline_water"
"mgm4727054","mgp20934","free-living","saline_marsh_sediment","marine","sediment"
"mgm4727384","mgp20922","free-living","grassland","terrestrial","soil"
"mgm4730300","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4730301","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4749374","mgp80207","free-living","compost","terrestrial","soil"
