"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4443316","marine habitat","anoxic water","water",NA,"OxMinZoneSite3Vir200811-10","Iquique Oxygen minimum zone Chile","metagenome","WGS","south america","Chile",20.10665,70.407383,"ocean biome","mgp2265","free-living","anoxic_seawater","marine","saline_water","dinsdale","454"
"mgm4443317","marine habitat","anoxic water","water",NA,"OxMinZoneSite3Vir200811-200","Iquique Oxygen minimum zone Chile","metagenome","WGS","south america","Chile",20.10665,70.407383,"ocean biome","mgp2265","free-living","anoxic_seawater","marine","saline_water","dinsdale","454"
"mgm4443776","marine habitat","anoxic water","water",NA,"OxMinZoneSite5Vir20080618-55","Iquique Oxygen minimum zone Chile","metagenome","WGS","south america","Chile",20.104183,70.803417,"ocean biome","mgp2265","free-living","anoxic_seawater","marine","saline_water","dinsdale","454"
"mgm4443777","marine habitat","anoxic water","water",NA,"OxMinZoneSite5Vir20080618-90","Iquique Oxygen minimum zone Chile","metagenome","WGS","south america","Chile",20.116183,70.793567,"ocean biome","mgp2265","free-living","anoxic_seawater","marine","saline_water","dinsdale","454"
"mgm4453375","ocean","coastal water","water",NA,"GB Site 1-1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4453376","ocean","coastal water","water",NA,"GB Site 1-2","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4454501","ocean","coastal water","water",NA,"AlphaproteobacteriaPt1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4454504","ocean","coastal water","water",NA,"GammaproteobacteriaPt1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4454686","ocean","coastal water","water",NA,"ActinoPt1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4454689","ocean","coastal water","water",NA,"FirmicutesPt1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4454693","ocean","coastal water","water",NA,"BacteroidetesChlorobiPt1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4454699","ocean","coastal water","water",NA,"BetaprotPt1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4454703","ocean","coastal water","water",NA,"DeltaEpsilonprotPt1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.923242,-43.145186,"ocean biome","mgp1929","free-living","coastal_seawater","marine","saline_water","thompson","454"
"mgm4516541","animal-associated habitat","organic material","host-associated",NA,"Mdecactis_clean","Corals_Buzios_Island","metagenome","WGS",NA,"Brazil",-23.8436111111111,-45.1669444444444,"ocean biome","mgp1813","host-associated","coral","marine","animal_host-associated","ottoboni","454"
"mgm4516694","animal-associated habitat","organic material","host-associated",NA,"Mhispida_clean","Corals_Buzios_Island","metagenome","WGS",NA,"Brazil",-23.8436111111111,-45.1669444444444,"ocean biome","mgp1813","host-associated","coral","marine","animal_host-associated","ottoboni","454"
"mgm4535370","upwelling","surface water","water",NA,"Arraial18-01cells","Upwelling Arraial do Cabo","metagenome","WGS","south america","Brazil",-23.002614,-42.011828,"ocean biome","mgp2518","free-living","oceanic_seawater","marine","saline_water","thompson","ion torrent"
"mgm4535371","upwelling","surface water","water",NA,"Arraial19-01cells","Upwelling Arraial do Cabo","metagenome","WGS","south america","Brazil",-22.995336,-42.016656,"ocean biome","mgp2518","free-living","oceanic_seawater","marine","saline_water","thompson","ion torrent"
"mgm4535372","upwelling","surface water","water",NA,"Arraial20-01cells","Upwelling Arraial do Cabo","metagenome","WGS","south america","Brazil",-22.995336,-42.016656,"ocean biome","mgp2518","free-living","oceanic_seawater","marine","saline_water","thompson","ion torrent"
"mgm4535373","upwelling","surface water","water",NA,"MFallC10","Upwelling Arraial do Cabo","metagenome","WGS","north america","USA",36.45,-122,"ocean biome","mgp2518","free-living","oceanic_seawater","marine","saline_water","thompson","454"
"mgm4535374","upwelling","surface water","water",NA,"MFallI10","Upwelling Arraial do Cabo","metagenome","WGS","north america","USA",36.05,-123.5,"ocean biome","mgp2518","free-living","oceanic_seawater","marine","saline_water","thompson","454"
"mgm4535375","upwelling","ocean water","water",NA,"MFallI42","Upwelling Arraial do Cabo","metagenome","WGS","north america","USA",34.8,-126,"ocean biome","mgp2518","free-living","oceanic_seawater","marine","saline_water","thompson","454"
"mgm4570603","area of open water","hypersaline water","water",NA,"ndms01lignin08_joined","Eastern Mediterranean Deep-sea Lignin Degradation","metagenome","WGS",NA,"Egypt",31.852,29.9822,"ocean biome","mgp9894","free-living","hypersaline_water","marine","saline_water","hazen","illumina"
"mgm4570604","area of open water","hypersaline water","water",NA,"ndms01lignin13_joined","Eastern Mediterranean Deep-sea Lignin Degradation","metagenome","WGS",NA,"Egypt",31.852,29.9822,"ocean biome","mgp9894","free-living","hypersaline_water","marine","saline_water","hazen","illumina"
"mgm4703499","marine water body","water","water",NA,"ERR770958_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",45.7009,13.71,"ocean biome","mgp18455","free-living","oceanic_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719936","marine water body","water","water",NA,"ERR771014_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",31.21667,29.96667,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719937","marine water body","water","water",NA,"ERR771101_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",32.7747,-16.828664,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719938","marine water body","water","water",NA,"ERR770988_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",41.6666,2.8,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719939","marine water body","water","water",NA,"ERR770963_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",35.086353,-2.214658,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
