samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4480719,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_44,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480764,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_50,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480776,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_56,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480815,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_62,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480859,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_90,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480861,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_98,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480863,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_112,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480864,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_118,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480865,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_126,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
mgm4480867,anaerobic digester sludge,anaerobic digester sludge,wastewater|sludge,NA,Beer_CE_Day_132,Beer-to-Caproate,metagenome,WGS,NA,United States of America,42.44,-76.5,anaerobic digester sludge,mgp397,free-living,reactor_sludge,freshwater,wastewater,angenent,illumina
