"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"DRR125227",5445633857,44859524,0.576828175806847,4434663734,4434663734,98.8566827860233,100,100,50,100,"free-living","freshwater","groundwater","porous_contaminated","Japan","Multi-omics analysis of bioaugmentation with Rhodococcus jostii RHA1",34.41,135.31,"Fukuda","illumina"
"ERR2108715",2447154563,14367768,0.615903162133032,2118826100,2118826100,147.470790174229,151,151,50,151,"free-living","freshwater","groundwater","karst_porous","USA","Tracking carbon-flow from naphthalene degrading bacteria in coal-tar contaminated surface sediments and groundwater.",43.292222,-73.604444,"Madsen","illumina"
"ERR2136696",120041343,701194,0.406963268781809,104736902,104736902,149.369364255827,150,150,50,151,"free-living","freshwater","groundwater","mine","Finland","DeepHotMicrobe",63.659,26.046,"Itävaara","illumina"
"ERR2136697",65250026,381228,0.561990368099576,56976295,56976295,149.454643940109,151,150,50,151,"free-living","freshwater","groundwater","mine","Finland","DeepHotMicrobe",63.659,26.046,"Itävaara","illumina"
"ERR2191545",19046170605,157540729,0.471762947583384,15286949223,15286949223,97.0349021490182,100,100,50,100,"free-living","marine","groundwater","subsurface_saline","Sweden","Aespoe aquifer metagenome",57.434,16.66,"Dopson","illumina"
"ERR2191546",18474709049,152918857,0.56864588712051,14824889774,14824889774,96.94611943117,100,100,50,100,"free-living","marine","groundwater","subsurface_saline","Sweden","Aespoe aquifer metagenome",57.434,16.66,"Dopson","illumina"
"SRR1556897",33931618,266194,0.471662828707881,27862467,27862467,104.669778432271,150,105,50,150,"free-living","freshwater","groundwater","geyser","USA","Crystal Geyser Metagenome",38.938,-110.135,"Emerson","illumina"
"SRR1573679",2769888569,17085873,0.63640542794114,2405093140,2405093140,140.765013294902,151,151,50,151,"free-living","freshwater","groundwater","porous_contaminated","USA","Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes",36.12,-84.25,"Zhou","illumina"
"SRR1573955",1833312018,11430212,0.591553312873168,1592923237,1592923237,139.360777997818,151,150,50,151,"free-living","freshwater","groundwater","porous_contaminated","USA","Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes",35.94,-84.34,"Zhou","illumina"
"SRR1573960",1849292474,11606391,0.592015232763019,1604346629,1604346629,138.22958652694,151,150,50,151,"free-living","freshwater","groundwater","porous_contaminated","USA","Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes",35.94,-84.34,"Zhou","illumina"
"SRR1633224",7998462602,61814836,0.527829570363501,6536575345,6536575345,105.744442078597,108,108,50,108,"free-living","freshwater","groundwater","mine","South Africa","MIMS Environmental/Metagenome sample from deep subsurface fracture water",-26.416806,27.427222,"Morrison","illumina"
"SRR1658343",10661374229,64486342,0.427025021868259,9135072275,9135072275,141.659024092264,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR1658462",18701905411,114384692,0.442506781506202,15978334203,15978334203,139.689445533498,150,148,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR1658463",13132177304,83989135,0.538174848194568,11137273535,11137273535,132.60374136488,150,142,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR1658465",16497719219,100850829,0.444345858553666,14098944474,14098944474,139.799985917815,150,148,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR1658468",13901477442,83945933,0.40102269198963,11908506103,11908506103,141.859238171789,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR1658469",11774688455,71862331,0.417242354719187,10070949405,10070949405,140.14225902302,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR1658471",12804821136,77202581,0.412949587614269,10973724016,10973724016,142.141931964684,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR1658472",10362673553,62743252,0.43576732110358,8878291172,8878291172,141.50192871737,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR2043728",5997279738,49266403,0.551037002013109,4834119497,4834119497,98.1220304839385,101,101,50,101,"free-living","freshwater","groundwater","porous","USA","Pacific Northwest National Laboratroy",46.371,-119.276,"Nelson","illumina"
"SRR2177362",12059511055,70575168,0.497054051900369,10386511393,10386511393,147.169488749924,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR2177950",10441450936,61133499,0.508363839260914,8994953771,8994953771,147.136249652584,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR2177951",10709708892,62810539,0.523165043862235,9222837253,9222837253,146.835824048572,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR2177952",5821941231,34255161,0.521722829739119,5020231195,5020231195,146.554009627921,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR2177953",9144847068,53761762,0.539587978972017,7874977925,7874977925,146.479163480542,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR2177954",10391023099,60707281,0.486485003223528,8955402099,8955402099,147.517759838396,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR2177956",10636184992,62246368,0.517590549626752,9163483741,9163483741,147.213147295598,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR2177968",12646892675,73866012,0.487529940825963,10895506036,10895506036,147.503645330142,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR2177986",11446844987,66911244,0.497741220745871,9862256774,9862256774,147.393116379663,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle groundwater metagenome and metatranscriptome following nitrate amendment Raw sequence reads",39.32,-107.46,"Karaoz","illumina"
"SRR3308675",10635419719,65033221,0.427344742465911,9215477100,9215477100,141.704146869798,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR3308741",13304956710,86377914,0.539037395453881,11415344987,11415344987,132.155830794895,150,141,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR3309137",16478312900,101878790,0.444667814666766,14243722921,14243722921,139.810483821019,150,148,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR3309324",13854734139,84644785,0.401646645397859,12003492085,12003492085,141.810178677871,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR3309325",12760332332,77817270,0.413274174076186,11059303619,11059303619,142.118884651183,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR3309326",10331529076,63243230,0.436262305017158,8951000623,8951000623,141.532945471001,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR3309327",11728948898,72198537,0.417809352730669,10151144555,10151144555,140.600419022341,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina"
"SRR3546449",17817868089,102214636,0.488331477502167,15385684780,15385684780,150.523304509933,151,151,50,151,"free-living","marine","groundwater","subsurface_saline","Japan","groundwater metagenome",45.045278,141.859444,"Hernsdorf","illumina"
"SRR3546450",15748711670,90349495,0.48548356405122,13601118773,13601118773,150.538957334515,151,151,50,151,"free-living","marine","groundwater","subsurface_saline","Japan","groundwater metagenome",45.045278,141.859444,"Hernsdorf","illumina"
"SRR3546451",15364567424,88173931,0.479646283675551,13269084166,13269084166,150.487610289259,151,151,50,151,"free-living","marine","groundwater","subsurface_saline","Japan","groundwater metagenome",45.045278,141.859444,"Hernsdorf","illumina"
"SRR3546453",14205600610,81475805,0.506683162544794,12271221439,12271221439,150.6118465353,151,151,50,151,"free-living","marine","groundwater","subsurface_saline","Japan","groundwater metagenome",45.045278,141.859444,"Hernsdorf","illumina"
"SRR3546454",13966686418,80075164,0.486167578758058,12065895412,12065895412,150.682119264845,151,151,50,151,"free-living","marine","groundwater","subsurface_saline","Japan","groundwater metagenome",45.045278,141.859444,"Hernsdorf","illumina"
"SRR3546455",13833554707,79357273,0.516873340179627,11949768976,11949768976,150.581900363436,151,151,50,151,"free-living","marine","groundwater","subsurface_saline","Japan","groundwater metagenome",45.045278,141.859444,"Hernsdorf","illumina"
"SRR3546457",16179980162,92856865,0.401432238042356,13972739313,13972739313,150.476104410805,151,151,50,151,"free-living","marine","groundwater","subsurface_saline","Japan","groundwater metagenome",45.05,141.86,"Hernsdorf","illumina"
"SRR3989308",7181763503,42511992,0.445093959626312,6183062213,6183062213,145.442777957805,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Groundwater microbial communities from Rifle, Colorado - Rifle Oxygen_injection A2 metagenome",39.53,-107.78,"Banfield","illumina"
"SRR3989310",4969555405,29561358,0.500898677558658,4281654708,4281654708,144.83958105037,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Groundwater microbial communities from Rifle, Colorado - Rifle Oxygen_injection B3 metagenome",39.53,-107.78,"Banfield","illumina"
"SRR3989311",7084604802,41955613,0.452469170512253,6099251520,6099251520,145.373910279895,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Groundwater microbial communities from Rifle, Colorado - Rifle Oxygen_injection B2 metagenome",39.53,-107.78,"Banfield","illumina"
"SRR3989312",6434402472,38173083,0.445955438106724,5539760496,5539760496,145.122166213297,150,150,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Groundwater microbial communities from Rifle, Colorado - Rifle Oxygen_injection A1 metagenome",39.53,-107.78,"Banfield","illumina"
