"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_meth","project_id"
"mgm4502540","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.59845,-89.7643667,"hartman","illumina","mgp2076"
"mgm4502541","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.5997833,-89.7643667,"hartman","illumina","mgp2076"
"mgm4502542","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.5997833,-89.7643667,"hartman","illumina","mgp2076"
"mgm4502929","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",38.1986167,-89.6272,"hartman","illumina","mgp2205"
"mgm4440939","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440940","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440941","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440942","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440943","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440944","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440945","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440946","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440947","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440948","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440949","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4440950","host-associated","terrestrial","human_host-associated","human_feces","Japan","Human Faeces - Kurokawa",35.7134,139.7623,"hattori","sanger","mgp29"
"mgm4461375","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454","mgp116"
"mgm4442467","free-living","marine","saline_water","salt_lake","Mexico","Comparative metagenomics of two microbial mats at Cuatro Cienegas basin",26.8713889,-102.0198056,"souza","454","mgp2321"
"mgm4446411","free-living","marine","saline_water","estuarine_seawater","Australia","Jeffries et al PLoS One",-36.16,139.65,"jeffries","454","mgp358"
"mgm4465556","host-associated","terrestrial","plant_associated","rhizosphere","Spain","Fire at Holm-Oak Rhizosphere",36.96971,-3.46027,"fernandez-lopez","454","mgp3608"
"mgm4479361","free-living","terrestrial","soil","compost","Brazil","Sao Paulo Zoo Composting",-23,-46,"da silva","454","mgp3997"
"mgm4479944","free-living","terrestrial","soil","compost","Brazil","Sao Paulo Zoo Composting",-23,-46,"da silva","454","mgp3997"
"mgm4587466","free-living","terrestrial","soil","compost","Brazil","Sao Paulo Zoo Composting Study",-23.651079,-46.620668,"setubal","454","mgp5435"
"mgm4587467","free-living","terrestrial","soil","compost","Brazil","Sao Paulo Zoo Composting Study",-23.651079,-46.620668,"setubal","454","mgp5435"
"mgm4587468","free-living","terrestrial","soil","compost","Brazil","Sao Paulo Zoo Composting Study",-23.651079,-46.620668,"setubal","454","mgp5435"
"mgm4688632","host-associated","terrestrial","plant_associated","plant-associated","Italy","Pinova3",41.89193,12.51133,"massart","illumina","mgp17155"
"mgm4477749","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4477751","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4477755","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4477757","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4477789","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4477790","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478030","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478037","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
"mgm4478222","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
"mgm4478283","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
"mgm4478290","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478291","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478292","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478294","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478934","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
"mgm4478936","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478937","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478938","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.6832502,-55.8357663,"mendes","454","mgp7774"
"mgm4478939","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
"mgm4478940","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
"mgm4478941","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
"mgm4478943","free-living","terrestrial","soil","agricultural_soil","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
"mgm4479311","host-associated","terrestrial","plant_associated","rhizosphere","Brazil","Soybean Rhizosphere from Amazon Soils",-11.7412664,-56.2533385,"mendes","454","mgp7774"
