"habitat","count"
"agricultural_soil",172
"alkaline_environment",25
"alkaline_salt_lake",1
"anaerobic_sediment",18
"animal_feces",318
"animal_gut",18
"animal_manure",3
"animal_skin",2
"anoxic_seawater",4
"aqueous_humour",6
"bodily_fluid",65
"bone",37
"chyme",1
"coastal_marine_sediment",102
"coastal_seawater",92
"compost",42
"contaminated_soil",4
"contaminated_water",6
"coral",60
"coral_reef_biofilm",17
"coral_reef_seawater",169
"desert_soil",4
"drinking_water_reservoir",1
"estuarine_seawater",64
"farm_soil",6
"fish",8
"forest_soil",26
"freshwater_biofilm",14
"grassland",120
"hot_spring",9
"human-gut",23
"human-skin",92
"human_associated_biofilm",34
"human_feces",268
"hydrothermal_vent",4
"hypersaline_water",8
"lake",12
"lake_sediment",1
"lung",57
"mangrove_sediment",30
"marine_biofilm",2
"meadow_soil",18
"oceanic_seawater",71
"park_soil",32
"pasture_soil",26
"peat_soil",20
"permafrost",15
"plant-associated",20
"polar_seawater",6
"reactor_sludge",14
"reclaimed_water",7
"rhizosphere",129
"river",71
"river_saline",2
"river_sediment",32
"saline_evaporation_pond",16
"saline_marsh_sediment",4
"saline_water_biofilm",2
"saliva",110
"salt_lake",4
"savanna_soil",4
"sea_worm",1
"sewage",25
"shrubland_soil",7
"sludge",64
"sponge",23
"stream_biofilm",4
"sulfur_spring",6
"tundra_soil",9
"wastewater_treatment_plant",30
