"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"mgm4502539","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.59845,-89.7643667,"hartman","illumina"
"mgm4502543","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.5997833,-89.7643667,"hartman","illumina"
"mgm4502923","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",38.198,-89.6276,"hartman","illumina"
"mgm4502924","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.5853,-89.7607167,"hartman","illumina"
"mgm4502925","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",40.21975,-88.4673667,"hartman","illumina"
"mgm4502926","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",40.2212833,-88.4665333,"hartman","illumina"
"mgm4502927","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",40.0776667,-88.2178667,"hartman","illumina"
"mgm4502928","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",40.0776833,-88.2157167,"hartman","illumina"
"mgm4502930","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.3767667,-90.3235,"hartman","illumina"
"mgm4502931","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.3756667,-90.3237167,"hartman","illumina"
"mgm4502932","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.3784833,-90.3239167,"hartman","illumina"
"mgm4502933","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.3788,-90.3226167,"hartman","illumina"
"mgm4502934","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.5976167,-89.7643167,"hartman","illumina"
"mgm4502935","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.5997167,-89.7609333,"hartman","illumina"
"mgm4520300","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00934,-72.49418,"gilbert","illumina"
"mgm4520301","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00934,-72.49418,"gilbert","illumina"
"mgm4520302","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00942,-72.49433,"gilbert","illumina"
"mgm4520303","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00942,-72.49433,"gilbert","illumina"
"mgm4520304","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02531,-72.46175,"gilbert","illumina"
"mgm4520305","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02531,-72.46175,"gilbert","illumina"
"mgm4520306","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02556,-72.46173,"gilbert","illumina"
"mgm4520307","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02556,-72.46173,"gilbert","illumina"
"mgm4520308","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01507,-72.52865,"gilbert","illumina"
"mgm4520309","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01507,-72.52865,"gilbert","illumina"
"mgm4520310","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02536,-72.46175,"gilbert","illumina"
"mgm4520311","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02536,-72.46175,"gilbert","illumina"
"mgm4520312","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.0144,-72.52841,"gilbert","illumina"
