samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem
mgm4440984,marine benthic feature,sandy sediment,sediment,NA,Australian Coorong lowest salinity murray mouth 36psu M1,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-35.55,138.88,estuarine biome,mgp358,free-living,coastal_marine_sediment,marine,sediment
mgm4441020,marine benthic feature,sandy sediment,sediment,NA,Australian Coorong medium salinity 105psu M2,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-35.79,139.31,estuarine biome,mgp358,free-living,coastal_marine_sediment,marine,sediment
mgm4441021,marine benthic feature,sandy sediment,sediment,NA,Australian Coorong medium high salinity 132psu M3,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-35.93,139.48,estuarine biome,mgp358,free-living,coastal_marine_sediment,marine,sediment
mgm4441022,marine benthic feature,sandy sediment,sediment,NA,Australian Coorong high salinity 136psu M4,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-36.16,139.65,estuarine biome,mgp358,free-living,coastal_marine_sediment,marine,sediment
mgm4446341,marine benthic feature,sandy sediment,sediment,NA,Point Turton,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-34.94,137.35,estuarine biome,mgp358,free-living,coastal_marine_sediment,marine,sediment
mgm4446342,marine benthic feature,sandy sediment,sediment,NA,Port Flinders,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-33.1025,128.02,estuarine biome,mgp358,free-living,coastal_marine_sediment,marine,sediment
mgm4446406,marine pelagic feature,saline water,water,NA,S1gnew,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-35.55,138.88,estuarine biome,mgp358,free-living,estuarine_seawater,marine,saline_water
mgm4446411,marine pelagic feature,saline water,water,NA,S2gnew,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-36.16,139.65,estuarine biome,mgp358,free-living,estuarine_seawater,marine,saline_water
mgm4446412,marine pelagic feature,saline water,water,NA,S2ngnew,Jeffries et al PLoS One,metagenome,WGS,NA,Australia,-36.16,140.65,estuarine biome,mgp358,free-living,estuarine_seawater,marine,saline_water
mgm4453379,ocean,coastal water,water,NA,GB Site 7-1,Guanabara Bay Metagenome,metagenome,WGS,south america,Brazil,-22.864633,-43.160464,estuarine biome,mgp1929,free-living,estuarine_seawater,marine,saline_water
mgm4453380,ocean,coastal water,water,NA,GB Site 7-2,Guanabara Bay Metagenome,metagenome,WGS,south america,Brazil,-22.864633,-43.160464,estuarine biome,mgp1929,free-living,estuarine_seawater,marine,saline_water
mgm4453381,ocean,coastal water,water,NA,GB Site 34-1,Guanabara Bay Metagenome,metagenome,WGS,south america,Brazil,-22.830467,-43.246569,estuarine biome,mgp1929,free-living,estuarine_seawater,marine,saline_water
mgm4453382,ocean,coastal water,water,NA,GB Site 34-2,Guanabara Bay Metagenome,metagenome,WGS,south america,Brazil,-22.830467,-43.246569,estuarine biome,mgp1929,free-living,estuarine_seawater,marine,saline_water
mgm4454502,ocean,coastal water,water,NA,AlphaproteobacteriaPt7,Guanabara Bay Metagenome,metagenome,WGS,south america,Brazil,-22.864633,-43.160464,estuarine biome,mgp1929,free-living,estuarine_seawater,marine,saline_water
mgm4454503,ocean,coastal water,water,NA,AlphaproteobacteriaPt34,Guanabara Bay Metagenome,metagenome,WGS,south america,Brazil,-22.830467,-43.246569,estuarine biome,mgp1929,free-living,estuarine_seawater,marine,saline_water
