"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4511045","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Ap10RXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511046","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Ap10RXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511047","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Ap10XNA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511048","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Ap10XNB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511049","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Ap10XXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511050","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Ap10XXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511063","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Au10XNA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511064","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Au10XNB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511065","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"Au10XXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511111","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"D10XXB","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511113","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"D10RXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511114","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"D10XNA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
"mgm4511116","Montane grasslands and shrubland biome","meadow","soil","soil",NA,"D10XXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"mgp1992"
