"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4489630","human-associated habitat","feces","human-gut",NA,"Control_1358bp","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489631","human-associated habitat","feces","human-gut",NA,"Control_1732bp","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489632","human-associated habitat","feces","human-gut",NA,"Control_2147bp","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489633","human-associated habitat","feces","human-gut",NA,"Control_2408bp","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489635","human-associated habitat","feces","human-gut",NA,"Control_3292bp","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489636","human-associated habitat","feces","human-gut",NA,"Control_6ABres_1","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489637","human-associated habitat","feces","human-gut",NA,"Control_6Abres_2","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489638","human-associated habitat","feces","human-gut",NA,"Control_6ABres_3","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489639","human-associated habitat","feces","human-gut",NA,"Control_6ABres_4","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489641","human-associated habitat","feces","human-gut",NA,"Control_6ABres_5","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489657","human-associated habitat","feces","human-gut",NA,"HG1_AX","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489659","human-associated habitat","feces","human-gut",NA,"HG1_CA","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489661","human-associated habitat","feces","human-gut",NA,"HG1_CF","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489662","human-associated habitat","feces","human-gut",NA,"HG1_CH","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489663","human-associated habitat","feces","human-gut",NA,"HG1_MN","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489665","human-associated habitat","feces","human-gut",NA,"HG1_PE","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489667","human-associated habitat","feces","human-gut",NA,"HG1_PI","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
"mgm4489668","human-associated habitat","feces","human-gut",NA,"HG1_SI","Soil Antibiotic Resistome","metagenome","WGS",NA,"USA",42.3,-71.1,"Temperate broad-leaf forests or woodlands and subpolar deciduous thickets","mgp567","host-associated","human_feces","terrestrial","human_host-associated"
