"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4530393","Tropical humid forests","plain","soil","soil",NA,"Forest_A001_1_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4530394","Tropical humid forests","plain","soil","soil",NA,"Forest_A001_1_split_2","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4530395","Tropical humid forests","plain","soil","soil",NA,"Forest_A001_1_split_3","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4530396","Tropical humid forests","plain","soil","soil",NA,"Forest_A001_1_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535539","Tropical humid forests","plain","soil","soil",NA,"Forest_A10_1_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535540","Tropical humid forests","plain","soil","soil",NA,"Forest_A100_2_split_2","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535541","Tropical humid forests","plain","soil","soil",NA,"Forest_A001_2_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535542","Tropical humid forests","plain","soil","soil",NA,"Forest_A01_2_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535543","Tropical humid forests","plain","soil","soil",NA,"Forest_A1_1_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535544","Tropical humid forests","plain","soil","soil",NA,"Forest_A100_2_split_3","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535545","Tropical humid forests","plain","soil","soil",NA,"Forest_A01_1_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535546","Tropical humid forests","plain","soil","soil",NA,"Forest_A10_1_split_3","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
"mgm4535547","Tropical humid forests","plain","soil","soil",NA,"Forest_A100_1_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"mgp3731"
