"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4467029","lake","water","water",NA,"Erie Bloom Shotgun Metagenome","Lake Erie Bloom Metagenome","metagenome","WGS","north america","United States of America",42.1469444444444,-8.01444444444444,"Large lake biome","mgp715","free-living","lake","freshwater","freshwater"
"mgm4467058","lake","water","water",NA,"Taihu Bloom Shotgun Metagenome","Freshwater Microcystis Bloom Metagenomes","metagenome","WGS","asia","People's Republic of China",31.26,120.12,"Large lake biome","mgp1207","free-living","lake","freshwater","freshwater"
"mgm4467059","lake","water","water",NA,"Grand Lake St Marys (GLSM) Bloom Shotgun Metagenome","Freshwater Microcystis Bloom Metagenomes","metagenome","WGS","north america","United States of America",40.531,-84.499,"Large lake biome","mgp1207","free-living","lake","freshwater","freshwater"
"mgm4508401","biofilm","contaminated water","wastewater|sludge",NA,"finaleffluent_S4_L001_R1_001_paired_de_novo_assembly","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"Large lake biome","mgp1963","free-living","contaminated_water","freshwater","freshwater"
"mgm4508402","biofilm","contaminated water","wastewater|sludge",NA,"hospitalA_S2_L001_R1_001_paired_de_novo_assembly","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"Large lake biome","mgp1963","free-living","contaminated_water","freshwater","freshwater"
"mgm4508403","biofilm","contaminated water","wastewater|sludge",NA,"hospitalE_S3_L001_R1_001_paired_de_novo_assembly","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"Large lake biome","mgp1963","free-living","contaminated_water","freshwater","freshwater"
"mgm4508404","biofilm","contaminated water","wastewater|sludge",NA,"primaryeffluent_S1_L001_R1_001_paired_de_novo_assembly","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"Large lake biome","mgp1963","free-living","contaminated_water","freshwater","freshwater"
"mgm4508805","biofilm","contaminated water","wastewater|sludge",NA,"120723-01_S1_L001_R1_001_paired_trimmed_paired_.fa","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"Large lake biome","mgp1963","free-living","contaminated_water","freshwater","freshwater"
"mgm4508831","biofilm","contaminated water","wastewater|sludge",NA,"121126_120723-01_S1_L001_R1_001_paired_trimmed_paired_de_novo_assembly.fa","120723 Kobe WWTO AS","metagenome","WGS",NA,"Japan",34.6676643364835,135.213546752929,"Large lake biome","mgp1963","free-living","contaminated_water","freshwater","freshwater"
"mgm4540030","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"1.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540031","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"10.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540032","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"11.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540033","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"12.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540034","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"2.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540035","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"3.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540036","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"4.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540037","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"51.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540038","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"52.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540039","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"61.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540040","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"62.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540041","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"7.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540042","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"8.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4540043","demilitiarized zone","anaerobic mud","wastewater|sludge",NA,"9.good","Metagenomic analysis of biogas reactor samples","metagenome","WGS",NA,"Denmark",55.763516,12.4949429,"Large lake biome","mgp6468","free-living","anaerobic_sediment","terrestrial","sediment"
"mgm4543770","farm","soil","soil",NA,"C1.contigWithCov","Metagenomes of biofuel crop rhizospheres","metagenome","WGS",NA,"USA",42.394828,-85.373855,"Large lake biome","mgp6787","free-living","farm_soil","terrestrial","soil"
"mgm4543771","farm","soil","soil",NA,"C2.contigWithCov","Metagenomes of biofuel crop rhizospheres","metagenome","WGS",NA,"USA",42.394828,-85.373855,"Large lake biome","mgp6787","free-living","farm_soil","terrestrial","soil"
"mgm4543772","farm","soil","soil",NA,"C3.contigWithCov","Metagenomes of biofuel crop rhizospheres","metagenome","WGS",NA,"USA",42.394828,-85.373855,"Large lake biome","mgp6787","free-living","farm_soil","terrestrial","soil"
"mgm4543773","farm","soil","soil",NA,"C4.contigWithCov","Metagenomes of biofuel crop rhizospheres","metagenome","WGS",NA,"USA",42.394828,-85.373855,"Large lake biome","mgp6787","free-living","farm_soil","terrestrial","soil"
"mgm4543774","farm","soil","soil",NA,"C5.contigWithCov","Metagenomes of biofuel crop rhizospheres","metagenome","WGS",NA,"USA",42.394828,-85.373855,"Large lake biome","mgp6787","free-living","farm_soil","terrestrial","soil"
"mgm4543775","farm","soil","soil",NA,"C6.contigWithCov","Metagenomes of biofuel crop rhizospheres","metagenome","WGS",NA,"USA",42.394828,-85.373855,"Large lake biome","mgp6787","free-living","farm_soil","terrestrial","soil"
"mgm4543776","farm","soil","soil",NA,"C7.contigWithCov","Metagenomes of biofuel crop rhizospheres","metagenome","WGS",NA,"USA",42.394828,-85.373855,"Large lake biome","mgp6787","free-living","farm_soil","terrestrial","soil"
"mgm4543777","farm","soil","soil",NA,"M1.contigWithCov","Metagenomes of biofuel crop rhizospheres","metagenome","WGS",NA,"USA",42.394828,-85.373855,"Large lake biome","mgp6787","free-living","farm_soil","terrestrial","soil"
