"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4743181","feces","feces","host-associated","metagenome","2014_Scat_11_Pigeon_01_S19_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.802089,-96.681604,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4753635","astronomical body","animal manure","human-gut",NA,"final.contigs","edamame","metagenome","WGS",NA,"USA",0,0,"host organism","mgp81127","host-associated","human-gut","terrestrial","human_host-associated"
"mgm4754043","feces","feces","host-associated","metagenome","2013_Scat_11_Bird_01_S1_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.798002,-96.674366,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4754047","feces","feces","host-associated","metagenome","2013_Scat_17_Sml_Maml_01_S2_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.796202,-96.671152,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4754048","feces","feces","host-associated","metagenome","2013_Scat_12_Sml_Maml_02_S3_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.798002,-96.674366,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4754510","feces","feces","host-associated","metagenome","2014_Scat_15_Bird_02_S16_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.783025,-96.636345,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4754512","feces","feces","host-associated","metagenome","2014_Scat_1_Duck_01_S17_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.783744,-96.635503,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4754513","feces","feces","host-associated","metagenome","2014_Scat_7_Duck_02_S18_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.806013,-96.685911,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4754520","feces","feces","host-associated","metagenome","2014_Scat_18_Sml_Maml_03_S23_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.810921,-96.666221,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4754521","feces","feces","host-associated","metagenome","2014_Scat_23_Pigeon_02_S20_R","Antelope_Creek_Watershed_Metagenome","metagenome","WGS",NA,"USA",40.802089,-96.681604,"host organism","mgp80013","host-associated","animal_feces","terrestrial","animal_host-associated"
"mgm4773634","anatomical entity","animal manure","host-associated",NA,"19HH_REV_final.contigs","hyena_gut","metagenome","WGS",NA,"Kenya",-1.4066,34.9066,"host organism","mgp83238","host-associated","animal_manure","terrestrial","animal_host-associated"
"mgm4776004","environmental zone","water","water",NA,"DR3P_S2_L001_R1_001","DVIVIAN","metagenome","WGS",NA,"USA",38.314908,-121.828077,"host organism","mgp83517","free-living","coastal_seawater","marine","saline_water"
"mgm4776009","environmental zone","water","water",NA,"DR4P_S16_L001_R1_001","DVIVIAN","metagenome","WGS",NA,"USA",38.314908,-121.828077,"host organism","mgp83517","free-living","coastal_seawater","marine","saline_water"
"mgm4776014","environmental zone","water","water",NA,"DR3P_S2_L001_R2_001","DVIVIAN","metagenome","WGS",NA,"USA",38.314908,-121.828077,"host organism","mgp83517","free-living","coastal_seawater","marine","saline_water"
"mgm4776017","environmental zone","water","water",NA,"DR4P_S16_L001_R2_001","DVIVIAN","metagenome","WGS",NA,"USA",38.314908,-121.828077,"host organism","mgp83517","free-living","coastal_seawater","marine","saline_water"
