"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4562962","marine coral reef biome","neritic zone","coastal water","water",NA,"ECtrl_Bur_Rasa","Abrolhos_Viromes","metagenome","WGS",NA,"Brazil",-17.9,-39,"mgp9023"
"mgm4562963","marine coral reef biome","neritic zone","coastal water","water",NA,"EFarol2011","Abrolhos_Viromes","metagenome","WGS",NA,"Brazil",-17.9,-39,"mgp9023"
"mgm4562964","marine coral reef biome","neritic zone","coastal water","water",NA,"ESG2011","Abrolhos_Viromes","metagenome","WGS",NA,"Brazil",-17.9,-39,"mgp9023"
"mgm4562965","marine coral reef biome","neritic zone","coastal water","water",NA,"ESt_Barb2011a","Abrolhos_Viromes","metagenome","WGS",NA,"Brazil",-17.9,-39,"mgp9023"
"mgm4562966","marine coral reef biome","neritic zone","coastal water","water",NA,"ETimbebas2012","Abrolhos_Viromes","metagenome","WGS",NA,"Brazil",-17.9,-39,"mgp9023"
"mgm4641054","marine coral reef biome","ocean","water","host-associated",NA,"I3_paired_remove","HYMAP","metagenome","WGS",NA,"Bahamas",26.659447,-78.52065,"mgp14181"
"mgm4653307","marine coral reef biome","animal-associated habitat","mucus","host-associated",NA,"AndamanCoral_AN-1","Metagenomic analysis of the microbial community associated with the coral Fungia echinata from Andaman Sea, India","metagenome","WGS",NA,"India",11.998,92.96,"mgp14567"
"mgm4698148","marine coral reef biome","coral reef","mucus","water",NA,"C7.2_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698149","marine coral reef biome","coral reef","mucus","water",NA,"D6_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698150","marine coral reef biome","coral reef","mucus","water",NA,"D5_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698151","marine coral reef biome","coral reef","mucus","water",NA,"C13_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698152","marine coral reef biome","coral reef","mucus","water",NA,"D2_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698153","marine coral reef biome","coral reef","mucus","water",NA,"C1.2_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698154","marine coral reef biome","coral reef","mucus","water",NA,"C11_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698155","marine coral reef biome","coral reef","mucus","water",NA,"C15_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698156","marine coral reef biome","coral reef","mucus","water",NA,"D8.2_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698157","marine coral reef biome","coral reef","mucus","water",NA,"D7_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698158","marine coral reef biome","coral reef","mucus","water",NA,"D16.2_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698159","marine coral reef biome","coral reef","mucus","water",NA,"D14_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698162","marine coral reef biome","coral reef","mucus","water",NA,"D1_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
"mgm4698163","marine coral reef biome","coral reef","mucus","water",NA,"D5.2_R","Dark Spot Syndrome","metagenome","WGS","north america","USA",24.9943,-80.4065,"mgp18043"
