"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4644368","marine hydrothermal vent","coastal water body","terrigenous sediment","sediment",NA,"YBS.assembled","YBS","metagenome","WGS",NA,"Taiwan",24.83471,121.96168,"mgp14430"
"mgm4644369","marine hydrothermal vent","coastal water body","terrigenous sediment","sediment",NA,"YPS.assembled","YPS","metagenome","WGS",NA,"Taiwan",24.83499,121.96207,"mgp14449"
"mgm4644370","marine hydrothermal vent","coastal water body","terrigenous sediment","sediment",NA,"Y.assembled","Y","metagenome","WGS",NA,"Taiwan",24.83499,121.96207,"mgp14450"
"mgm4667949","marine hydrothermal vent","coastal water body","sea water","water",NA,"1","Y13","metagenome","WGS",NA,"Taiwan",24.83499,121.96207,"mgp15361"
"mgm4668298","marine hydrothermal vent","coastal water body","sea water","water",NA,"W13","W1-3","metagenome","WGS",NA,"Taiwan",24.83414,121.96191,"mgp15393"
"mgm4668300","marine hydrothermal vent","coastal water body","sea water","water",NA,"Y15","Y1-5","metagenome","WGS",NA,"Taiwan",24.83499,121.96207,"mgp15395"
"mgm4668301","marine hydrothermal vent","coastal water body","sea water","water",NA,"Y14","Y1-4","metagenome","WGS",NA,"Taiwan",24.83499,121.96207,"mgp15396"
"mgm4668302","marine hydrothermal vent","coastal water body","sea water","water",NA,"Y13","Y1-3","metagenome","WGS",NA,"China",24.83499,121.96207,"mgp15397"
"mgm4668303","marine hydrothermal vent","coastal water body","sea water","water",NA,"W16","W1-6","metagenome","WGS",NA,"Taiwan",24.83414,121.96191,"mgp15398"
"mgm4668304","marine hydrothermal vent","coastal water body","sea water","water",NA,"W15","W1-5","metagenome","WGS",NA,"Taiwan",24.83414,121.96191,"mgp15399"
"mgm4668305","marine hydrothermal vent","coastal water body","sea water","water",NA,"W19","w1-9","metagenome","WGS",NA,"Taiwan",24.83442,121.96201,"mgp15400"
