"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4612993","mediterranean sea biome","continental shelf","marine sediment","sediment",NA,"21D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp12175"
"mgm4612994","mediterranean sea biome","continental shelf","marine sediment","sediment",NA,"23D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp12175"
"mgm4612995","mediterranean sea biome","continental shelf","marine sediment","sediment",NA,"25D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp12175"
"mgm4612996","mediterranean sea biome","continental shelf","marine sediment","sediment",NA,"27D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp12175"
"mgm4612997","mediterranean sea biome","continental shelf","marine sediment","sediment",NA,"29D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp12175"
"mgm4614521","mediterranean sea biome","marine bulk water","water","water",NA,"DCM","DCM for teaching","metagenome","WGS",NA,"Mediterranean Sea",38.06851,-0.23199,"mgp12299"
"mgm4699428","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_15","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699429","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_11","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699430","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_31","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699432","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_18","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699433","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_37","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699434","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_4","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699435","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_13","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699436","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_32","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699437","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_40","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699438","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_9","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699439","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_23","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699440","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_24","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699441","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_21","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
"mgm4699442","mediterranean sea biome","photic zone","sea water","water",NA,"Sample_2","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mgp18165"
