"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4530477","sea water","sea water","surface water","water",NA,"SW01-B","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
"mgm4530478","sea water","sea water","surface water","water",NA,"SW08-A","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
"mgm4698541","sea water","marine pelagic feature","water","miscellaneous",NA,"V21N2S4R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698542","sea water","marine pelagic feature","water","miscellaneous",NA,"21P5S1R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698543","sea water","marine pelagic feature","water","miscellaneous",NA,"V03P2S2R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698544","sea water","marine pelagic feature","water","miscellaneous",NA,"V03P2S2R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698545","sea water","marine pelagic feature","water","miscellaneous",NA,"V03N2S1R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698546","sea water","marine pelagic feature","water","miscellaneous",NA,"21P5S1R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698547","sea water","marine pelagic feature","water","miscellaneous",NA,"V03P2S1R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698548","sea water","marine pelagic feature","water","miscellaneous",NA,"21N2S3R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698549","sea water","marine pelagic feature","water","miscellaneous",NA,"V03P2S1R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698551","sea water","marine pelagic feature","water","miscellaneous",NA,"21N3S2R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698553","sea water","marine pelagic feature","water","miscellaneous",NA,"03N5S2R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698554","sea water","marine pelagic feature","water","miscellaneous",NA,"21P3S4R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698556","sea water","marine pelagic feature","water","miscellaneous",NA,"V21P4S2R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698558","sea water","marine pelagic feature","water","miscellaneous",NA,"V21P5S1R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698560","sea water","marine pelagic feature","water","miscellaneous",NA,"21N3S2R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698562","sea water","marine pelagic feature","water","miscellaneous",NA,"21P3S4R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698563","sea water","marine pelagic feature","water","miscellaneous",NA,"V21N3S2R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698565","sea water","marine pelagic feature","water","miscellaneous",NA,"V21P4S2R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698567","sea water","marine pelagic feature","water","miscellaneous",NA,"V21N2S3R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698568","sea water","marine pelagic feature","water","miscellaneous",NA,"V03N2S1R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698569","sea water","marine pelagic feature","water","miscellaneous",NA,"03N5S2R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698570","sea water","marine pelagic feature","water","miscellaneous",NA,"03P2S4R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698571","sea water","marine pelagic feature","water","miscellaneous",NA,"V21N2S3R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698572","sea water","marine pelagic feature","water","miscellaneous",NA,"V03P5S1R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698573","sea water","marine pelagic feature","water","miscellaneous",NA,"V03N3S2R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698574","sea water","marine pelagic feature","water","miscellaneous",NA,"03P2S4R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698575","sea water","marine pelagic feature","water","miscellaneous",NA,"V03N3S2R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698576","sea water","marine pelagic feature","water","miscellaneous",NA,"V03P5S1R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698577","sea water","marine pelagic feature","water","miscellaneous",NA,"03N1S1R2","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698578","sea water","marine pelagic feature","water","miscellaneous",NA,"21P4S2R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698579","sea water","marine pelagic feature","water","miscellaneous",NA,"V21N2S4R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698580","sea water","marine pelagic feature","water","miscellaneous",NA,"V21P5S1R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698581","sea water","marine pelagic feature","water","miscellaneous",NA,"V21N3S2R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
"mgm4698582","sea water","marine pelagic feature","water","miscellaneous",NA,"21N2S3R1","heterotrophic mutualists","metagenome","WGS",NA,"USA",42.404904,-85.40077,"mgp18097"
