"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4481963","Small river biome","freshwater habitat","sediment","sediment",NA,"cg2_up_s_1","Tongue_all_2011","metagenome","WGS",NA,"USA",45.139111,-106.767658,"mgp305"
"mgm4481964","Small river biome","freshwater habitat","sediment","sediment",NA,"cg2_up_s_2","Tongue_all_2011","metagenome","WGS",NA,"USA",45.139111,-106.767658,"mgp305"
"mgm4481966","Small river biome","freshwater habitat","sediment","sediment",NA,"cg5_down_s_2","Tongue_all_2011","metagenome","WGS",NA,"USA",45.139111,-106.767658,"mgp305"
"mgm4528142","Small river biome","sulfur spring","biofilm material","microbial mat|biofilm",NA,"META","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"mgp5076"
"mgm4528143","Small river biome","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METB","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"mgp5076"
"mgm4528144","Small river biome","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METC","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"mgp5076"
"mgm4528145","Small river biome","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METD","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"mgp5076"
"mgm4528146","Small river biome","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METE","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"mgp5076"
"mgm4528147","Small river biome","sulfur spring","biofilm material","microbial mat|biofilm",NA,"METF","Geobiology 2013","metagenome","WGS","north america","USA",35.2089453,-97.4457048,"mgp5076"
"mgm4533663","Small river biome","freshwater habitat","water","host-associated",NA,"A10_S10_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533664","Small river biome","freshwater habitat","water","host-associated",NA,"A11_S11_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533665","Small river biome","freshwater habitat","water","host-associated",NA,"A12_S12_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533666","Small river biome","freshwater habitat","water","host-associated",NA,"A1_S1_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533667","Small river biome","freshwater habitat","water","host-associated",NA,"A2_S2_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533668","Small river biome","freshwater habitat","water","host-associated",NA,"A3_S3_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533669","Small river biome","freshwater habitat","water","host-associated",NA,"A4_S4_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533670","Small river biome","freshwater habitat","water","host-associated",NA,"A5_S5_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533671","Small river biome","freshwater habitat","water","host-associated",NA,"A6_S6_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533672","Small river biome","freshwater habitat","water","host-associated",NA,"A7_S7_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533673","Small river biome","freshwater habitat","water","host-associated",NA,"A8_S8_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533674","Small river biome","freshwater habitat","water","host-associated",NA,"A9_S9_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533675","Small river biome","freshwater habitat","water","host-associated",NA,"B1_S13_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533676","Small river biome","freshwater habitat","water","host-associated",NA,"B2_S14_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533677","Small river biome","freshwater habitat","water","host-associated",NA,"B3_S15_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533678","Small river biome","freshwater habitat","water","host-associated",NA,"B4_S16_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533679","Small river biome","freshwater habitat","water","host-associated",NA,"B5_S17_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4533680","Small river biome","freshwater habitat","water","host-associated",NA,"B6_S18_L001_R1_001","Circadian_mouse_cecum","metagenome","WGS",NA,"USA",41.8819,-87.6278,"mgp5687"
"mgm4589537","Small river biome","biofilm","surface water","microbial mat|biofilm",NA,"rb01D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.093517,-81.959342,"mgp11202"
"mgm4589538","Small river biome","biofilm","surface water","microbial mat|biofilm",NA,"rb02D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.081156,-81.944769,"mgp11202"
"mgm4589539","Small river biome","biofilm","surface water","microbial mat|biofilm",NA,"rb04D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.093239,-81.963733,"mgp11202"
"mgm4589540","Small river biome","biofilm","surface water","microbial mat|biofilm",NA,"rb07D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.147433,-81.993931,"mgp11202"
"mgm4589541","Small river biome","biofilm","surface water","microbial mat|biofilm",NA,"rb08D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.150972,-82.000242,"mgp11202"
"mgm4589543","Small river biome","biofilm","surface water","microbial mat|biofilm",NA,"rb13D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.061635,-81.943771,"mgp11202"
"mgm4589544","Small river biome","biofilm","surface water","microbial mat|biofilm",NA,"rb15D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.047192,-81.912722,"mgp11202"
"mgm4589545","Small river biome","biofilm","surface water","microbial mat|biofilm",NA,"rb16D","MTR_GeMS_DNA","metagenome","WGS","north america","USA",38.08708333,-81.95846389,"mgp11202"
