"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4477876","Temperate coniferous forest biome","slope","bulk soil","soil",NA,"BZ1_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",64.8,-148.25,"mgp2997"
"mgm4477877","Temperate coniferous forest biome","slope","bulk soil","soil",NA,"CL1_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",34.617,-81.667,"mgp2997"
"mgm4477899","Temperate coniferous forest biome","slope","bulk soil","soil",NA,"DF1_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",35.967,-79.083,"mgp2997"
"mgm4575383","Temperate coniferous forest biome","slope","bulk soil","soil",NA,"BZ1_r1, assembled","cross-site soil metagen, Velvet assembled","metagenome","WGS",NA,"USA",64.8,-148.25,"mgp10310"
"mgm4627252","Temperate coniferous forest biome","forest","spruce forest soil","soil",NA,"Prilba_Seasons_MG","Prilba_Seasons","metagenome","WGS",NA,"Czech Republic",49.0437647222222,13.6171380555556,"mgp6860"
"mgm4739174","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_8dose.1001503","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739175","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_5dose.1001491","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739176","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_5dose.1001497","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739177","Temperate coniferous forest biome","aquifer","ground water","water",NA,"12C_3dose.1001473","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739178","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_8dose.1001500","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739179","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_3dose.1001482","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739180","Temperate coniferous forest biome","aquifer","ground water","water",NA,"contaminated.1001464","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739181","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_8dose.1001506","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739182","Temperate coniferous forest biome","aquifer","ground water","water",NA,"12C_5dose.1001476","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739183","Temperate coniferous forest biome","aquifer","ground water","water",NA,"uncontaminated.1001470","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739184","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_3dose.1001488","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739185","Temperate coniferous forest biome","aquifer","ground water","water",NA,"contaminated.1001461","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739186","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_5dose.1001494","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739187","Temperate coniferous forest biome","aquifer","ground water","water",NA,"contaminated.1001467","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739188","Temperate coniferous forest biome","aquifer","ground water","water",NA,"13C_3dose.1001485","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
"mgm4739189","Temperate coniferous forest biome","aquifer","ground water","water",NA,"12C_8dose.1001479","SIP Napthalene in Groundwater","metagenome","WGS",NA,"USA",43.292,-73.60444,"mgp79605"
