"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4520107","urban biome","human-associated habitat","feces","human-gut",NA,"E36","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520108","urban biome","human-associated habitat","feces","human-gut",NA,"E23","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520109","urban biome","human-associated habitat","feces","human-gut",NA,"D39","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520110","urban biome","human-associated habitat","feces","human-gut",NA,"D44","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520111","urban biome","human-associated habitat","feces","human-gut",NA,"E11","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520112","urban biome","human-associated habitat","feces","human-gut",NA,"D19","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520113","urban biome","human-associated habitat","feces","human-gut",NA,"D33","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520114","urban biome","human-associated habitat","feces","human-gut",NA,"E22","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520115","urban biome","human-associated habitat","feces","human-gut",NA,"E16","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520116","urban biome","human-associated habitat","feces","human-gut",NA,"E41","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520117","urban biome","human-associated habitat","feces","human-gut",NA,"E31","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520118","urban biome","human-associated habitat","feces","human-gut",NA,"E05","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520119","urban biome","human-associated habitat","feces","human-gut",NA,"E49","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520120","urban biome","human-associated habitat","feces","human-gut",NA,"D53","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520121","urban biome","human-associated habitat","feces","human-gut",NA,"D11","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520122","urban biome","human-associated habitat","feces","human-gut",NA,"D25","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520123","urban biome","human-associated habitat","feces","human-gut",NA,"E18","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520124","urban biome","human-associated habitat","feces","human-gut",NA,"E44","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520125","urban biome","human-associated habitat","feces","human-gut",NA,"D05","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
"mgm4520126","urban biome","human-associated habitat","feces","human-gut",NA,"D52","Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study","metagenome","WGS","north america","USA",37.4225,-122.1653,"mgp4149"
