"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4612993","continental shelf","marine sediment","sediment",NA,"21D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mediterranean sea biome","mgp12175","free-living","continental_slope_sediment","marine","sediment"
"mgm4612994","continental shelf","marine sediment","sediment",NA,"23D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mediterranean sea biome","mgp12175","free-living","continental_slope_sediment","marine","sediment"
"mgm4612995","continental shelf","marine sediment","sediment",NA,"25D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mediterranean sea biome","mgp12175","free-living","continental_slope_sediment","marine","sediment"
"mgm4612996","continental shelf","marine sediment","sediment",NA,"27D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mediterranean sea biome","mgp12175","free-living","continental_slope_sediment","marine","sediment"
"mgm4612997","continental shelf","marine sediment","sediment",NA,"29D","Resist2","metagenome","WGS",NA,"France",42.48343,3.128874,"mediterranean sea biome","mgp12175","free-living","continental_slope_sediment","marine","sediment"
"mgm4614521","marine bulk water","water","water",NA,"DCM","DCM for teaching","metagenome","WGS",NA,"Mediterranean Sea",38.06851,-0.23199,"mediterranean sea biome","mgp12299","free-living","coastal_seawater","marine","saline_water"
"mgm4699428","photic zone","sea water","water",NA,"Sample_15","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699429","photic zone","sea water","water",NA,"Sample_11","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699430","photic zone","sea water","water",NA,"Sample_31","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699432","photic zone","sea water","water",NA,"Sample_18","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699433","photic zone","sea water","water",NA,"Sample_37","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699434","photic zone","sea water","water",NA,"Sample_4","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699435","photic zone","sea water","water",NA,"Sample_13","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699436","photic zone","sea water","water",NA,"Sample_32","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699437","photic zone","sea water","water",NA,"Sample_40","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699438","photic zone","sea water","water",NA,"Sample_9","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699439","photic zone","sea water","water",NA,"Sample_23","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699440","photic zone","sea water","water",NA,"Sample_24","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699441","photic zone","sea water","water",NA,"Sample_21","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699442","photic zone","sea water","water",NA,"Sample_2","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699443","photic zone","sea water","water",NA,"Sample_30","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699444","photic zone","sea water","water",NA,"Sample_33","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699445","photic zone","sea water","water",NA,"Sample_12","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699446","photic zone","sea water","water",NA,"Sample_16","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699447","photic zone","sea water","water",NA,"Sample_6","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699448","photic zone","sea water","water",NA,"Sample_14","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699449","photic zone","sea water","water",NA,"Sample_7","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699450","photic zone","sea water","water",NA,"Sample_25","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699451","photic zone","sea water","water",NA,"Sample_10","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699452","photic zone","sea water","water",NA,"Sample_28","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699453","photic zone","sea water","water",NA,"Sample_27","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699454","photic zone","sea water","water",NA,"Sample_1","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699455","photic zone","sea water","water",NA,"Sample_34","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699456","photic zone","sea water","water",NA,"Sample_5","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699465","photic zone","sea water","water",NA,"Sample_19","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699466","photic zone","sea water","water",NA,"Sample_20","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
"mgm4699467","photic zone","sea water","water",NA,"Sample_26","Eureka_SOLA","metagenome","WGS",NA,"France",42.48853,3.14293,"mediterranean sea biome","mgp18165","free-living","oceanic_seawater","marine","saline_water"
