samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem
mgm4477876,slope,bulk soil,soil,NA,BZ1_r1,cross-site soil metagen,metagenome,WGS,NA,USA,64.8,-148.25,Temperate coniferous forest biome,mgp2997,free-living,forest_soil,terrestrial,soil
mgm4477877,slope,bulk soil,soil,NA,CL1_r1,cross-site soil metagen,metagenome,WGS,NA,USA,34.617,-81.667,Temperate coniferous forest biome,mgp2997,free-living,forest_soil,terrestrial,soil
mgm4477899,slope,bulk soil,soil,NA,DF1_r1,cross-site soil metagen,metagenome,WGS,NA,USA,35.967,-79.083,Temperate coniferous forest biome,mgp2997,free-living,forest_soil,terrestrial,soil
mgm4739174,aquifer,ground water,water,NA,13C_8dose.1001503,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739175,aquifer,ground water,water,NA,13C_5dose.1001491,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739176,aquifer,ground water,water,NA,13C_5dose.1001497,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739177,aquifer,ground water,water,NA,12C_3dose.1001473,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739178,aquifer,ground water,water,NA,13C_8dose.1001500,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739179,aquifer,ground water,water,NA,13C_3dose.1001482,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739180,aquifer,ground water,water,NA,contaminated.1001464,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739181,aquifer,ground water,water,NA,13C_8dose.1001506,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739182,aquifer,ground water,water,NA,12C_5dose.1001476,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739183,aquifer,ground water,water,NA,uncontaminated.1001470,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739184,aquifer,ground water,water,NA,13C_3dose.1001488,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739185,aquifer,ground water,water,NA,contaminated.1001461,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739186,aquifer,ground water,water,NA,13C_5dose.1001494,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739187,aquifer,ground water,water,NA,contaminated.1001467,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739188,aquifer,ground water,water,NA,13C_3dose.1001485,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
mgm4739189,aquifer,ground water,water,NA,12C_8dose.1001479,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.292,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater
