samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem
mgm4520107,human-associated habitat,feces,human-gut,NA,E36,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520108,human-associated habitat,feces,human-gut,NA,E23,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520109,human-associated habitat,feces,human-gut,NA,D39,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520110,human-associated habitat,feces,human-gut,NA,D44,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520111,human-associated habitat,feces,human-gut,NA,E11,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520112,human-associated habitat,feces,human-gut,NA,D19,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520113,human-associated habitat,feces,human-gut,NA,D33,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520114,human-associated habitat,feces,human-gut,NA,E22,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520115,human-associated habitat,feces,human-gut,NA,E16,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520116,human-associated habitat,feces,human-gut,NA,E41,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520117,human-associated habitat,feces,human-gut,NA,E31,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
mgm4520118,human-associated habitat,feces,human-gut,NA,E05,Ciprofloxacin perturbation of gut microbiota - metagenomics pilot study,metagenome,WGS,north america,USA,37.4225,-122.1653,urban biome,mgp4149,host-associated,human_feces,terrestrial,human_host-associated
