"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_meth","project_id"
"SRR1658463",13132177304,83989135,0.538174848194568,11137273535,11137273535,1326037413648801,150,142,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina","PRJNA268031"
"SRR1658468",13901477442,83945933,0.40102269198963,11908506103,11908506103,1418592381717885,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina","PRJNA268031"
"SRR1658471",12804821136,77202581,0.412949587614269,10973724016,10973724016,14214193196468392,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina","PRJNA268031"
"SRR3308741",13304956710,86377914,0.539037395453881,11415344987,11415344987,13215583079489508,150,1410,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina","PRJNA268031"
"SRR3309324",13854734139,84644785,0.401646645397859,12003492085,12003492085,1418101786778713,150,149,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina","PRJNA268031"
"SRR3309325",12760332332,77817270,0.413274174076186,11059303619,11059303619,14211888465118346,150,1490,50,150,"free-living","freshwater","groundwater","porous_contaminated","USA","Rifle CO metagenome from aquifer",39.537,-107.783,"Banfield","illumina","PRJNA268031"
"SRR5435972",24460560444,141419243,0.436088397148227,21088519046,21088519046,14912057651164204,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA365670"
"SRR5435975",23356599069,134879483,0.43971466636739,20141586491,20141586491,1493302468471057,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA365669"
"SRR5468912",17757835572,103897763,0.594075306140006,15286113163,15286113163,147126489749351,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMZT100 metagenome",38.836269,-106.947211,"Banfield","illumina","PRJNA367347"
"SRR5468955",14309563277,83625461,0.602911200199573,12324348633,12324348633,14737555387587042,151,151,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMLT700 metagenome",38.836269,-106.947211,"Banfield","illumina","PRJNA367349"
"SRR5468956",14748634069,86198236,0.608098815540571,12701714576,12701714576,14735469268767866,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMLT890 metagenome",38.836269,-106.947211,"Banfield","illumina","PRJNA367350"
"SRR5468957",7021893859,41212732,0.602431107065064,6054613806,6054613806,14691124592274056,151,1510,50,151,"free-living","freshwater","groundwater","geyser","USA","Groundwater sediment microbial communities from an aquifer in East River, Colorado, USA - East River MetaG ERMZT299 metagenome",38.836269,-106.947211,"Banfield","illumina","PRJNA367348"
"SRR5487649",14441507543,84033825,0.423868750427533,12446756704,12446756704,1481160318954897,150,150,50,150,"free-living","freshwater","groundwater","geyser","USA","Groundwater microbial communities from aquifer in Utah USA",38.938,-110.134,"Banfield","illumina","PRJNA375480"
