"samples","total_number_of_reads","file_size","GC_content","total_number_of_bases","complete_sequence_size","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","seq_meth"
"DRR125227",5445633857,44859524,"0.5768281758068469",4434663734,4434663734,9885668278602332,100,1000,50,100,"illumina"
"ERR2108715",2447154563,14367768,"0.6159031621330321",2118826100,2118826100,14747079017422888,151,1510,50,151,"illumina"
"ERR2136696",120041343,701194,"0.4069632687818091",104736902,104736902,1493693642558265,150,1500,50,151,"illumina"
"ERR2136697",65250026,381228,"0.5619903680995755",56976295,56976295,14945464394010932,151,1500,50,151,"illumina"
"ERR2191545",19046170605,157540729,"0.4717629475833839",15286949223,15286949223,9703490214901824,100,100,50,100,"illumina"
"ERR2191546",18474709049,152918857,"0.5686458871205096",14824889774,14824889774,9694611943116996,100,100,50,100,"illumina"
"SRR1556897",33931618,266194,"0.47166282870788145",27862467,27862467,1046697784322712,150,1050,50,150,"illumina"
"SRR1573679",2769888569,17085873,"0.63640542794114",2405093140,2405093140,1407650132949016,151,151,50,151,"illumina"
"SRR1573955",1833312018,11430212,"0.5915533128731677",1592923237,1592923237,13936077799781842,151,1500,50,151,"illumina"
"SRR1573960",1849292474,11606391,"0.592015232763019",1604346629,1604346629,1382295865269402,151,150,50,151,"illumina"
"SRR1633224",7998462602,61814836,"0.5278295703635005",6536575345,6536575345,10574444207859744,108,1080,50,108,"illumina"
"SRR1658343",10661374229,64486342,"0.42702502186825886",9135072275,9135072275,14165902409226436,150,1490,50,150,"illumina"
"SRR1658462",18701905411,114384692,"0.4425067815062023",15978334203,15978334203,13968944553349848,150,1480,50,150,"illumina"
"SRR1658463",13132177304,83989135,"0.5381748481945676",11137273535,11137273535,1326037413648801,150,142,50,150,"illumina"
"SRR1658465",16497719219,100850829,"0.4443458585536664",14098944474,14098944474,13979998591781532,150,148,50,150,"illumina"
"SRR1658468",13901477442,83945933,"0.40102269198963014",11908506103,11908506103,1418592381717885,150,149,50,150,"illumina"
"SRR1658469",11774688455,71862331,"0.41724235471918747",10070949405,10070949405,14014225902302,150,149,50,150,"illumina"
"SRR1658471",12804821136,77202581,"0.41294958761426903",10973724016,10973724016,14214193196468392,150,149,50,150,"illumina"
"SRR1658472",10362673553,62743252,"0.4357673211035796",8878291172,8878291172,14150192871737028,150,1490,50,150,"illumina"
"SRR2043728",5997279738,49266403,"0.5510370020131093",4834119497,4834119497,9812203048393852,101,101,50,101,"illumina"
"SRR2177362",12059511055,70575168,"0.4970540519003694",10386511393,10386511393,14716948874992406,150,1500,50,150,"illumina"
"SRR2177950",10441450936,61133499,"0.5083638392609144",8994953771,8994953771,1471362496525841,150,150,50,150,"illumina"
"SRR2177951",10709708892,62810539,"0.5231650438622351",9222837253,9222837253,14683582404857248,150,150,50,150,"illumina"
"SRR2177952",5821941231,34255161,"0.5217228297391192",5020231195,5020231195,14655400962792146,150,150,50,150,"illumina"
"SRR2177953",9144847068,53761762,"0.5395879789720173",7874977925,7874977925,14647916348054218,150,1500,50,150,"illumina"
"SRR2177954",10391023099,60707281,"0.4864850032235275",8955402099,8955402099,14751775983839564,150,150,50,150,"illumina"
"SRR2177956",10636184992,62246368,"0.5175905496267524",9163483741,9163483741,14721314729559802,150,1500,50,150,"illumina"
"SRR2177968",12646892675,73866012,"0.48752994082596274",10895506036,10895506036,14750364533014184,150,1500,50,150,"illumina"
"SRR2177986",11446844987,66911244,"0.49774122074587146",9862256774,9862256774,1473931163796626,150,1500,50,150,"illumina"
"SRR3308675",10635419719,65033221,"0.427344742465911",9215477100,9215477100,1417041468697975,150,149,50,150,"illumina"
"SRR3308741",13304956710,86377914,"0.5390373954538813",11415344987,11415344987,13215583079489508,150,1410,50,150,"illumina"
"SRR3309137",16478312900,101878790,"0.44466781466676636",14243722921,14243722921,13981048382101906,150,1480,50,150,"illumina"
"SRR3309324",13854734139,84644785,"0.4016466453978588",12003492085,12003492085,1418101786778713,150,149,50,150,"illumina"
"SRR3309325",12760332332,77817270,"0.413274174076186",11059303619,11059303619,14211888465118346,150,1490,50,150,"illumina"
"SRR3309326",10331529076,63243230,"0.4362623050171583",8951000623,8951000623,1415329454710014,150,1490,50,150,"illumina"
"SRR3309327",11728948898,72198537,"0.4178093527306685",10151144555,10151144555,14060041902234112,150,149,50,150,"illumina"
"SRR3546449",17817868089,102214636,"0.48833147750216677",15385684780,15385684780,15052330450993338,151,1510,50,151,"illumina"
"SRR3546450",15748711670,90349495,"0.4854835640512203",13601118773,13601118773,15053895733451526,151,151,50,151,"illumina"
"SRR3546451",15364567424,88173931,"0.4796462836755511",13269084166,13269084166,15048761028925884,151,151,50,151,"illumina"
"SRR3546453",14205600610,81475805,"0.5066831625447942",12271221439,12271221439,15061184653529966,151,151,50,151,"illumina"
"SRR3546454",13966686418,80075164,"0.48616757875805794",12065895412,12065895412,15068211926484472,151,1510,50,151,"illumina"
"SRR3546455",13833554707,79357273,"0.5168733401796269",11949768976,11949768976,15058190036343612,151,151,50,151,"illumina"
"SRR3546457",16179980162,92856865,"0.4014322380423559",13972739313,13972739313,15047610441080474,151,151,50,151,"illumina"
"SRR3989308",7181763503,42511992,"0.44509395962631243",6183062213,6183062213,14544277795780542,150,1500,50,150,"illumina"
"SRR3989310",4969555405,29561358,"0.5008986775586576",4281654708,4281654708,14483958105036988,150,1500,50,150,"illumina"
"SRR3989311",7084604802,41955613,"0.45246917051225327",6099251520,6099251520,14537391027989508,150,150,50,150,"illumina"
"SRR3989312",6434402472,38173083,"0.4459554381067235",5539760496,5539760496,14512216621329748,150,150,50,150,"illumina"
"SRR3989313",13014212748,79022350,"0.47291845768479057",11139365919,11139365919,1409647513519909,150,1490,50,150,"illumina"
"SRR3989315",5460804688,32565118,"0.47738949025657856",4700648933,4700648933,14434613542625578,150,1500,50,150,"illumina"
"SRR4343426",12363333643,102852791,"0.4765598203604727",9915676056,9915676056,964064850316021,101,101,50,101,"illumina"
"SRR4343427",2566508236,17233010,"0.4673264492083704",2198075439,2198075439,12755029092422044,186,1310,50,187,"illumina"
"SRR4343428",8458954615,70037768,"0.4813686757848913",6798910321,6798910321,97074914223423,101,1010,50,101,"illumina"
"SRR4343429",850373769,5955286,"0.4757553318705293",726373461,726373461,12197121364112488,121,1230,50,187,"illumina"
"SRR4343430",7011179753,57550782,"0.4828629687690709",5651478205,5651478205,9819985078569392,101,1010,50,101,"illumina"
"SRR4343431",127730853,1141987,"0.5184577874712749",104781356,104781356,9175354535559512,101,100,50,101,"illumina"
"SRR4343433",10730703961,88636796,"0.4894217893769859",8624158778,8624158778,9729772698462612,101,1010,50,101,"illumina"
"SRR4343434",868016492,5897391,"0.4896374981337505",745237984,745237984,12636740280574918,185,129,50,187,"illumina"
"SRR4343440",177482678,1578621,"0.5142792552033568",145367841,145367841,9208533333840104,101,100,50,101,"illumina"
"SRR446575",8838204574,84001065,"0.4396890981374107",6925665810,6925665810,8244735718529283,85,85,50,85,"illumina"
"SRR446576",8043431473,77311269,"0.44312107464316897",6283631288,6283631288,8127704239339288,85,85,50,85,"illumina"
"SRR446577",6520949616,63295663,"0.4094363167592802",5081603768,5081603768,8028360123188851,85,85,50,85,"illumina"
"SRR5248198",16170198936,102240951,"0.46270805763223133",13737587907,13737587907,13436482908888436,150,144,50,150,"illumina"
"SRR5248199",13225088168,78570015,"0.5235668101131371",11360978733,11360978733,14459687621289116,150,150,50,150,"illumina"
"SRR5248218",20400260100,125878737,"0.4292446938265943",17400612775,17400612775,13823313761878626,150,147,50,150,"illumina"
"SRR5248219",18012106576,107842828,"0.5012673509655609",15444753294,15444753294,14321539577949494,150,1500,50,150,"illumina"
"SRR5435972",24460560444,141419243,"0.4360883971482271",21088519046,21088519046,14912057651164204,151,151,50,151,"illumina"
"SRR5435975",23356599069,134879483,"0.43971466636739026",20141586491,20141586491,1493302468471057,151,151,50,151,"illumina"
"SRR5468912",17757835572,103897763,"0.5940753061400059",15286113163,15286113163,147126489749351,151,151,50,151,"illumina"
"SRR5468955",14309563277,83625461,"0.6029112001995732",12324348633,12324348633,14737555387587042,151,151,50,151,"illumina"
"SRR5468956",14748634069,86198236,"0.6080988155405705",12701714576,12701714576,14735469268767866,151,1510,50,151,"illumina"
"SRR5468957",7021893859,41212732,"0.6024311070650639",6054613806,6054613806,14691124592274056,151,1510,50,151,"illumina"
"SRR5487649",14441507543,84033825,"0.4238687504275331",12446756704,12446756704,1481160318954897,150,150,50,150,"illumina"
"SRR5487652",13895731766,80609348,"0.4458082072082544",11983171031,11983171031,14865733724828044,150,1500,50,150,"illumina"
"SRR5487656",11657049226,67670974,"0.4555239619036199",10054998481,10054998481,1485865783607607,150,1500,50,150,"illumina"
"SRR5487657",14826037569,86088124,"0.4053834690552127",12781950912,12781950912,1484751940000458,150,1500,50,150,"illumina"
"SRR6050920",13097949739,76132620,"0.4798612579647415",11292820356,11292820356,1483309040986636,151,1510,50,151,"illumina"
"SRR6050958",12539736936,72888903,"0.47652889910004576",10812440353,10812440353,14834137856348312,151,151,50,151,"illumina"
"SRR6050961",13398252678,77833754,"0.47694720244833616",11552303919,11552303919,1484228027726891,151,1510,50,151,"illumina"
"SRR6051235",21720751980,126764638,"0.4515158604167606",18700475213,18700475213,14752122916960484,151,1510,50,151,"illumina"
"SRR6051236",20244201514,118073660,"0.4396666912320626",17432557073,17432557073,14764137126773236,151,1510,50,151,"illumina"
